Cycle;meanVel;maxVel;minVel;stdVel;maxAccel;maxDecel;stdAccel;stdDecel;meanAccel;meanDecel;rAccel;rDecel;rStop;stopCnt;meanStopDur;meanGear;gearChg
1;1.985230133;10.237216;0;2.594674015;2.503424;-2.056384;0.516136661;0.609954368;0.980176593;-0.8761984;0.225;0.208333333;0.483333333;2;29;1.1;4
1;6.261540267;11.801856;0;3.556711689;2.68224;-2.637536;0.691790215;0.551305784;0.7420864;-0.711046642;0.375;0.441666667;0.041666667;3;1.666666667;1.675;14
1;2.834978667;10.013696;0;3.24252008;2.2352;-1.385824;0.58869469;0.366131079;0.734822;-0.574609951;0.266666667;0.341666667;0.35;3;14;1.2;4
1;1.7356328;7.063232;0;2.421383509;1.430528;-1.475232;0.332146398;0.345142369;0.483616;-0.5431536;0.183333333;0.166666667;0.583333333;1;70;1.1;6
2;5.117129629;12.36111111;0;4.236563106;1.333333333;-1.472222222;0.352104998;0.374837863;0.536265432;-0.563492064;0.3;0.291666667;0.275;1;33;1.508333333;6
2;7.190277778;15.69444444;0;4.852019175;1.555555556;-1.472222222;0.304576701;0.354967966;0.481481482;-0.554659498;0.5;0.258333333;0.141666667;1;17;1.833333333;6
2;8.620601852;13.83333333;3.972222222;2.95226156;1.083333333;-1.5;0.31231202;0.31087994;0.641493056;-0.43126177;0.266666667;0.491666667;0;0;0;2.108333333;9
2;3.183101852;9.305555556;0;3.042185961;1.333333333;-1.472222222;0.410895009;0.357303326;0.586805556;-0.490079365;0.2;0.35;0.35;2;21;1.283333333;5
3;7.734027778;13.83333333;0;4.339137674;2.361111111;-1.638888889;0.550316437;0.396235204;0.722685185;-0.67989418;0.5;0.35;0.125;2;7.5;1.975;12
3;13.21550926;20.08333333;0;6.310174577;1.805555556;-4.083333333;0.450328183;0.859209808;0.579140461;-0.644308943;0.441666667;0.341666667;0.066666667;1;8;2.675;10
3;16.58773148;21.36111111;9.472222222;3.087600398;1.416666667;-3.611111111;0.337217974;0.637739898;0.481481482;-0.509456265;0.4;0.391666667;0;0;0;3.116666667;6
3;19.48912037;23.27777778;18.11111111;1.471296134;0.833333333;-0.694444444;0.221938879;0.162242878;0.285130719;-0.268253968;0.283333333;0.291666667;0;0;0;3.325;6
3;11.59027778;18.5;1.388888889;4.140052334;1.166666667;-1.916666667;0.347263094;0.513479095;0.468468469;-0.575591986;0.308333333;0.508333333;0;0;0;2.516666667;6
