Cycle;meanVel;maxVel;minVel;stdVel;maxAccel;maxDecel;stdAccel;stdDecel;meanAccel;meanDecel;rAccel;rDecel;rStop;stopCnt;meanStopDur;meanGear;gearChg
1;2.982661524;11.265408;0;3.35305849;2.503424;-2.056384;0.551674921;0.537418679;0.795548735;-0.672639256;0.293413174;0.25748503;0.365269461;3;20.33333333;1.208333333;9
1;4.731439429;11.801856;0;3.491776183;2.68224;-2.056384;0.6620497;0.51704538;0.903765867;-0.707813333;0.359281437;0.395209581;0.095808383;3;5.333333333;1.416666667;15
1;5.179277714;11.801856;0;3.6616297;2.68224;-2.637536;0.67485835;0.543487115;0.801691733;-0.702196677;0.359281437;0.389221557;0.113772455;4;4.75;1.511904762;16
1;5.757768762;11.801856;0;3.780985925;2.68224;-2.637536;0.678192989;0.531246483;0.779435871;-0.676476706;0.371257485;0.407185629;0.119760479;4;5;1.619047619;16
1;4.185145905;11.801856;0;3.852164979;2.68224;-2.637536;0.685856469;0.526177988;0.81791763;-0.711006476;0.323353293;0.377245509;0.239520958;5;8;1.398809524;12
1;2.231740762;10.013696;0;3.032284569;2.2352;-2.637536;0.55778736;0.534331001;0.750556632;-0.68805287;0.22754491;0.275449102;0.461077844;4;19.25;1.154761905;5
1;2.776969905;10.013696;0;3.031940469;1.609344;-1.475232;0.388238417;0.359362375;0.525272;-0.60171584;0.239520958;0.299401198;0.401197605;3;22.33333333;1.18452381;9
1;1.494656952;7.063232;0;2.219412937;1.475232;-1.475232;0.399445262;0.36225509;0.561780267;-0.601907429;0.179640719;0.167664671;0.610778443;2;51;1.071428571;6
1;2.472823048;9.38784;0;2.856774546;1.832864;-2.45872;0.426262752;0.578102127;0.6022848;-0.682393412;0.329341317;0.203592814;0.413173653;3;23;1.160714286;9
1;2.69288381;12.383008;0;3.64328194;1.832864;-2.45872;0.444978437;0.593694366;0.598424;-0.862316632;0.263473054;0.22754491;0.479041916;3;26.66666667;1.261904762;9
2;4.706586826;12.36111111;0;4.061457929;1.555555556;-1.472222222;0.351628043;0.406240373;0.566203704;-0.601626016;0.361445783;0.246987952;0.301204819;2;25;1.467065868;9
2;4.848968729;11.25;0;3.60434252;1.555555556;-1.472222222;0.301837533;0.399504767;0.517473118;-0.564613527;0.373493976;0.277108434;0.234939759;1;39;1.419161677;7
2;6.004657352;15.69444444;0;4.894261276;1.555555556;-1.472222222;0.301696762;0.322102053;0.485449736;-0.550747863;0.379518072;0.313253012;0.234939759;1;39;1.664670659;8
2;8.933632734;15.69444444;0.527777778;3.809309421;1.555555556;-1.5;0.314911666;0.354160993;0.553184282;-0.532552083;0.493975904;0.385542169;0;0;0;2.107784431;12
2;9.058882235;15.69444444;3.333333333;3.746694962;1.083333333;-1.5;0.303457777;0.294552079;0.527777778;-0.428462709;0.373493976;0.439759036;0;0;0;2.137724551;12
2;7.757984032;15.69444444;0;3.913120269;1.194444444;-1.5;0.34298105;0.287438226;0.63501292;-0.430555556;0.259036145;0.518072289;0.036144578;1;6;1.994011976;10
2;6.658183633;13.83333333;0;3.445855328;1.333333333;-1.5;0.38564982;0.335209199;0.602067183;-0.436899863;0.259036145;0.487951807;0.036144578;1;6;1.778443114;9
2;3.737192282;9.305555556;0;3.103914434;1.333333333;-1.472222222;0.391932086;0.341994594;0.535353535;-0.462264151;0.198795181;0.319277108;0.307228916;2;25.5;1.365269461;7
2;2.380405855;9.305555556;0;2.888610056;1.444444444;-1.472222222;0.428180232;0.358166522;0.671146953;-0.519444444;0.186746988;0.301204819;0.457831325;3;25.33333333;1.185628743;7
2;2.239687292;9.305555556;0;2.836478966;1.611111111;-1.472222222;0.471797324;0.452624269;0.695436508;-0.566137566;0.168674699;0.253012048;0.512048193;3;28.33333333;1.149700599;6
3;9.606630824;19.75;0;5.716543287;2.361111111;-4.083333333;0.514364007;0.69033517;0.686243386;-0.71194825;0.486111111;0.337962963;0.106481481;3;7.666666667;2.225806452;20
3;13.37992832;21.36111111;0;6.491267254;2.361111111;-4.083333333;0.51094846;0.785139507;0.66995221;-0.631313131;0.430555556;0.356481481;0.083333333;2;9;2.714285714;20
3;17.52483359;23.27777778;9.472222222;3.179986383;1.416666667;-3.611111111;0.337943252;0.497946581;0.457729469;-0.41468254;0.425925926;0.388888889;0;0;0;3.253456221;11
3;17.36123912;23.27777778;7.472222222;3.32739472;1.222222222;-3.611111111;0.286738357;0.597543399;0.381111111;-0.453828829;0.347222222;0.342592593;0;0;0;3.105990783;9
3;14.85739887;22.30555556;0.555555556;4.958663695;1.166666667;-1.916666667;0.308999806;0.452427034;0.359722222;-0.483641975;0.277777778;0.416666667;0;0;0;2.829493088;11
3;12.28213006;19.02777778;0;4.743684085;1.916666667;-1.916666667;0.359013101;0.457635623;0.447956577;-0.49257106;0.402777778;0.398148148;0.023148148;1;5;2.571428571;8
3;15.30926779;26.05555556;0;6.756026499;1.916666667;-2.527777778;0.324793516;0.489189337;0.512553419;-0.524256651;0.481481481;0.328703704;0.023148148;1;5;2.953917051;10
3;21.72107015;30.97222222;10.83333333;5.480419322;1.111111111;-2.527777778;0.250847136;0.432923595;0.502659574;-0.475308642;0.435185185;0.375;0;0;0;3.917050691;12
