TotalTime;Phase;PhaseTime;Vel;Acc
1;Pre-Cycle;1;0;0
2;Pre-Cycle;2;0;0
3;Pre-Cycle;3;0;0
4;Pre-Cycle;4;0;0
5;Pre-Cycle;5;0;0
6;Pre-Cycle;6;0;0.666666667
7;Pre-Cycle;7;0.666666667;0.138888889
8;Pre-Cycle;8;0.805555556;0.666666667
9;Pre-Cycle;9;1.472222222;1.722222222
10;Pre-Cycle;10;3.194444444;1.472222222
11;Pre-Cycle;11;4.666666667;0.805555556
12;Pre-Cycle;12;5.472222222;0.388888889
13;Pre-Cycle;13;5.861111111;0.944444444
14;Pre-Cycle;14;6.805555556;0.666666667
15;Pre-Cycle;15;7.472222222;0.388888889
16;Pre-Cycle;16;7.861111111;0
17;Pre-Cycle;17;7.861111111;-0.111111111
18;Pre-Cycle;18;7.75;0
19;Pre-Cycle;19;7.75;0.527777778
20;Pre-Cycle;20;8.277777778;0.388888889
21;Pre-Cycle;21;8.666666667;0.277777778
22;Pre-Cycle;22;8.944444444;0.138888889
23;Pre-Cycle;23;9.083333333;0.111111111
24;Pre-Cycle;24;9.194444444;0.805555556
25;Pre-Cycle;25;10;1.194444444
26;Pre-Cycle;26;11.19444444;0.138888889
27;Pre-Cycle;27;11.33333333;-0.138888889
28;Pre-Cycle;28;11.19444444;-0.666666667
29;Pre-Cycle;29;10.52777778;-0.388888889
30;Pre-Cycle;30;10.13888889;-0.666666667
31;Pre-Cycle;31;9.472222222;-0.944444444
32;Pre-Cycle;32;8.527777778;-1.722222222
33;Pre-Cycle;33;6.805555556;-2.416666667
34;Pre-Cycle;34;4.388888889;-2
35;Pre-Cycle;35;2.388888889;-1.194444444
36;Pre-Cycle;36;1.194444444;-0.805555556
37;Pre-Cycle;37;0.388888889;-0.25
38;Pre-Cycle;38;0.138888889;-0.138888889
39;Pre-Cycle;39;0;0
40;Pre-Cycle;40;0;0
41;Pre-Cycle;41;0;0
42;Pre-Cycle;42;0;0
43;Pre-Cycle;43;0;0.138888889
44;Pre-Cycle;44;0.138888889;1.472222222
45;Pre-Cycle;45;1.611111111;1.861111111
46;Pre-Cycle;46;3.472222222;1.611111111
47;Pre-Cycle;47;5.083333333;0.777777778
48;Pre-Cycle;48;5.861111111;1.083333333
49;Pre-Cycle;49;6.944444444;1.194444444
50;Pre-Cycle;50;8.138888889;1.722222222
51;Pre-Cycle;51;9.861111111;1.472222222
52;Pre-Cycle;52;11.33333333;1.083333333
53;Pre-Cycle;53;12.41666667;0.25
54;Pre-Cycle;54;12.66666667;0.138888889
55;Pre-Cycle;55;12.80555556;0.527777778
56;Pre-Cycle;56;13.33333333;0
57;Pre-Cycle;57;13.33333333;-0.138888889
