TotalTime;Phase;PhaseTime;Vel;Acc
1;Pre-Cycle;1;0;0
2;Pre-Cycle;2;0;0
3;Pre-Cycle;3;0;0
4;Pre-Cycle;4;0;0
5;Pre-Cycle;5;0;0.555555556
6;Pre-Cycle;6;0.555555556;2.055555556
7;Pre-Cycle;7;2.611111111;1.916666667
8;Pre-Cycle;8;4.527777778;0.944444444
9;Pre-Cycle;9;5.472222222;0.416666667
10;Pre-Cycle;10;5.888888889;0.805555556
11;Pre-Cycle;11;6.694444444;0.972222222
12;Pre-Cycle;12;7.666666667;0.416666667
13;Pre-Cycle;13;8.083333333;0.944444444
14;Pre-Cycle;14;9.027777778;1.111111111
15;Pre-Cycle;15;10.13888889;0.138888889
16;Pre-Cycle;16;10.27777778;0.388888889
17;Pre-Cycle;17;10.66666667;0.833333333
18;Pre-Cycle;18;11.5;0.555555556
19;Pre-Cycle;19;12.05555556;0.277777778
20;Pre-Cycle;20;12.33333333;0.388888889
21;Pre-Cycle;21;12.72222222;0.416666667
22;Pre-Cycle;22;13.13888889;0.277777778
23;Pre-Cycle;23;13.41666667;0.277777778
24;Pre-Cycle;24;13.69444444;0.138888889
25;Pre-Cycle;25;13.83333333;-0.138888889
26;Pre-Cycle;26;13.69444444;-0.833333333
27;Pre-Cycle;27;12.86111111;-1.083333333
28;Pre-Cycle;28;11.77777778;-1.111111111
29;Pre-Cycle;29;10.66666667;-1.083333333
30;Pre-Cycle;30;9.583333333;-1.638888889
31;Pre-Cycle;31;7.944444444;-1.111111111
32;Pre-Cycle;32;6.833333333;-0.805555556
33;Pre-Cycle;33;6.027777778;-0.555555556
34;Pre-Cycle;34;5.472222222;-0.416666667
35;Pre-Cycle;35;5.055555556;0.138888889
36;Pre-Cycle;36;5.194444444;0.416666667
37;Pre-Cycle;37;5.611111111;0.833333333
38;Pre-Cycle;38;6.444444444;0.666666667
39;Pre-Cycle;39;7.111111111;1.25
40;Pre-Cycle;40;8.361111111;0.944444444
41;Pre-Cycle;41;9.305555556;1.222222222
42;Pre-Cycle;42;10.52777778;0
43;Pre-Cycle;43;10.52777778;0.416666667
44;Pre-Cycle;44;10.94444444;0.833333333
45;Pre-Cycle;45;11.77777778;0.666666667
46;Pre-Cycle;46;12.44444444;0.416666667
47;Pre-Cycle;47;12.86111111;0
48;Pre-Cycle;48;12.86111111;0.138888889
49;Pre-Cycle;49;13;0.138888889
50;Pre-Cycle;50;13.13888889;-0.138888889
51;Pre-Cycle;51;13;-0.277777778
52;Pre-Cycle;52;12.72222222;-0.527777778
53;Pre-Cycle;53;12.19444444;-0.555555556
54;Pre-Cycle;54;11.63888889;0
55;Pre-Cycle;55;11.63888889;0
56;Pre-Cycle;56;11.63888889;0.555555556
