Artemis Urban Cycle
Update 17/11/2000

DieselNet.com, 2018.02
https://dieselnet.com/standards/cycles/artemis.php

Time	Speed
s	km/h

1	0	---> Start of the "Engine Start" Phase
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0.7
22	2.1
23	9.2
24	15.6
25	19.8
26	19.8
27	22.7
28	25.5
29	29.8
30	34
31	36.9
32	38.3
33	40.4
34	43.2
35	46.1
36	46.1
37	46.1
38	44.6
39	46.1
40	48.2
41	48.9
42	48.2
43	46.8
44	44.6
45	42.5
46	41.8
47	41.1
48	39.7
49	36.1
50	34.7
51	34.7
52	36.9
53	36.1
54	36.1
55	34.7
56	32.6
57	29.1
58	24.1
59	20.6
60	15.6
61	11.3
62	9.2
63	9.2
64	9.2
65	9.9
66	10.6
67	12
68	11.3
69	7.8
70	1.4
71	0
72	0
73	0	---> Start of the Useful Part of the Urban Cycle. Sub-Cycle: Urban 1
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0.7
94	2.1
95	9.2
96	15.6
97	19.8
98	19.8
99	22.7
100	25.5
101	29.8
102	34
103	36.9
104	38.3
105	40.4
106	43.2
107	46.1
108	46.1
109	46.1
110	44.6
111	46.1
112	48.2
113	48.9
114	48.2
115	46.8
116	44.6
117	42.5
118	41.8
119	41.1
120	39.7
121	36.1
122	34.7
123	34.7
124	36.9
125	36.1
126	36.1
127	34.7
128	32.6
129	29.1
130	24.1
131	20.6
132	15.6
133	11.3
134	9.2
135	9.2
136	9.2
137	9.9
138	10.6
139	12
140	11.3
141	7.8
142	1.4
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	0
151	0
152	0
153	0.7
154	1.5
155	4.4
156	5.9
157	7.3
158	9.5
159	8.1
160	3.7
161	2.9
162	4.4
163	0.7
164	0
165	0
166	2.2
167	2.2
168	2.9
169	7.3
170	5.9
171	7.3
172	8.8
173	11
174	15.4
175	13.9
176	11.7
177	11
178	5.1
179	0
180	0
181	0
182	0
183	0
184	0
185	0
186	0
187	0
188	0
189	0
190	0
191	0
192	0
193	0
194	0
195	0
196	0
197	0
198	0
199	0
200	0
201	0
202	0
203	0
204	0
205	0
206	0
207	0
208	0.7
209	11
210	13.2
211	13.9
212	14.7
213	15.4
214	16.9
215	16.1
216	15.4
217	13.9
218	13.2
219	13.2
220	15.4
221	16.9
222	16.1
223	14.7
224	13.2
225	13.9
226	14.7
227	18.3
228	22
229	30.1
230	32.3
231	32.3
232	38.1
233	38.1
234	38.1
235	38.1
236	38.9
237	39.6
238	40.3
239	40.3
240	41.1
241	43.3
242	44.7
243	45.5
244	44
245	44
246	43.3
247	41.8
248	38.9
249	34.5
250	33
251	33.7
252	36.7
253	37.4
254	40.3
255	41.1
256	41.1
257	38.9
258	37.4
259	35.9
260	34.5
261	32.3
262	30.8
263	27.9
264	26.4
265	24.2
266	23.5
267	22.7
268	21.3
269	19.1
270	16.9
271	11
272	6.6
273	5.1
274	4.4
275	2.2
276	0
277	0
278	0
279	2.2
280	5.1
281	13.9
282	22.7
283	27.1
284	27.1
285	22.7
286	18.3
287	11.7
288	8.8
289	6.6
290	3.7
291	2.9
292	4.4
293	11
294	11.7
295	11.7
296	11
297	8.8
298	6.6
299	7.3
300	5.9
301	4.4
302	2.2
303	0.7
304	0
305	0
306	0
307	0
308	0
309	0	----> Sub-Cycle: Urban 2
310	0
311	2
312	6.9
313	10.8
314	12.3
315	14.3
316	19.7
317	21.2
318	23.7
319	28.1
320	31
321	31.5
322	33
323	34
324	31
325	24.1
326	15.8
327	10.8
328	6.4
329	2.5
330	1.5
331	0
332	0
333	0.5
334	6.4
335	13.8
336	19.2
337	19.2
338	21.2
339	22.7
340	25.1
341	28.6
342	33.5
343	37
344	37.9
345	40.9
346	44.4
347	47.3
348	50.8
349	52.2
350	51.3
351	48.8
352	48.8
353	50.8
354	50.8
355	47.3
356	40.4
357	29.1
358	23.7
359	25.1
360	27.1
361	29.1
362	33.5
363	36.5
364	38.9
365	41.9
366	44.8
367	47.8
368	50.8
369	53.2
370	54.7
371	54.2
372	54.7
373	55.2
374	56.7
375	57.2
376	57.2
377	57.7
378	57.2
379	57.2
380	56.7
381	56.7
382	56.2
383	54.7
384	54.7
385	52.2
386	48.8
387	43.9
388	43.4
389	44.4
390	43.4
391	38.4
392	34.5
393	33.5
394	34
395	37.5
396	41.9
397	45.8
398	49.3
399	48.3
400	46.3
401	43.4
402	38.9
403	33.5
404	32
405	33
406	34
407	34
408	33.5
409	33
410	33
411	33
412	33.5
413	35
414	35.5
415	36
416	37
417	37
418	37.5
419	37.5
420	38.4
421	38.9
422	38.4
423	38.4
424	40.4
425	42.4
426	42.9
427	42.4
428	41.4
429	38.9
430	30.6
431	19.7
432	13.8
433	12.3
434	10.8
435	4.4
