TotalTime;Phase;PhaseTime;Vel;Acc
1;Phase 1;1;0;0
2;Phase 1;2;0;0
3;Phase 1;3;0;0
4;Phase 1;4;0;0
5;Phase 1;5;0;0.089408
6;Phase 1;6;0.089408;0.22352
7;Phase 1;7;0.312928;0.178816
8;Phase 1;8;0.491744;0.268224
9;Phase 1;9;0.759968;1.922272
10;Phase 1;10;2.68224;3.531616
11;Phase 1;11;6.213856;2.950464
12;Phase 1;12;9.16432;2.324608
13;Phase 1;13;11.488928;-0.312928
14;Phase 1;14;11.176;1.519936
15;Phase 1;15;12.695936;1.743456
16;Phase 1;16;14.439392;1.028192
17;Phase 1;17;15.467584;0.849376
18;Phase 1;18;16.31696;0.849376
19;Phase 1;19;17.166336;0.67056
20;Phase 1;20;17.836896;1.028192
21;Phase 1;21;18.865088;0.715264
22;Phase 1;22;19.580352;0.178816
23;Phase 1;23;19.759168;-0.357632
24;Phase 1;24;19.401536;-0.357632
25;Phase 1;25;19.043904;-1.028192
26;Phase 1;26;18.015712;-0.491744
27;Phase 1;27;17.523968;-0.357632
28;Phase 1;28;17.166336;0
29;Phase 1;29;17.166336;0.357632
30;Phase 1;30;17.523968;-0.178816
31;Phase 1;31;17.345152;0
32;Phase 1;32;17.345152;-1.028192
33;Phase 1;33;16.31696;-1.877568
34;Phase 1;34;14.439392;-2.101088
35;Phase 1;35;12.338304;-2.369312
36;Phase 1;36;9.968992;-2.2352
37;Phase 1;37;7.733792;-2.592832
38;Phase 1;38;5.14096;-2.548128
39;Phase 1;39;2.592832;-2.056384
40;Phase 1;40;0.536448;-0.536448
41;Phase 1;41;0;0
42;Phase 1;42;0;0
43;Phase 1;43;0;0
44;Phase 1;44;0;0
45;Phase 1;45;0;0
46;Phase 1;46;0;0
47;Phase 1;47;0;0
48;Phase 1;48;0;0.357632
49;Phase 1;49;0.357632;3.755136
50;Phase 1;50;4.112768;2.548128
51;Phase 1;51;6.660896;1.475232
52;Phase 1;52;8.136128;1.78816
53;Phase 1;53;9.924288;2.2352
54;Phase 1;54;12.159488;1.877568
55;Phase 1;55;14.037056;1.072896
56;Phase 1;56;15.109952;1.519936
57;Phase 1;57;16.629888;1.609344
58;Phase 1;58;18.239232;1.430528
59;Phase 1;59;19.66976;1.028192
60;Phase 1;60;20.697952;0.581152
61;Phase 1;61;21.279104;0.849376
62;Phase 1;62;22.12848;0.759968
63;Phase 1;63;22.888448;0.804672
64;Phase 1;64;23.69312;0.625856
65;Phase 1;65;24.318976;0.536448
66;Phase 1;66;24.855424;0.357632
67;Phase 1;67;25.213056;-0.134112
68;Phase 1;68;25.078944;0.044704
69;Phase 1;69;25.123648;-0.178816
70;Phase 1;70;24.944832;-0.312928
71;Phase 1;71;24.631904;-0.312928
72;Phase 1;72;24.318976;-0.089408
73;Phase 1;73;24.229568;0.089408
74;Phase 1;74;24.318976;-0.089408
75;Phase 1;75;24.229568;-0.312928
76;Phase 1;76;23.91664;-0.536448
77;Phase 1;77;23.380192;-0.134112
78;Phase 1;78;23.24608;-0.044704
79;Phase 1;79;23.201376;-0.044704
80;Phase 1;80;23.156672;0.044704
81;Phase 1;81;23.201376;0.044704
82;Phase 1;82;23.24608;0.22352
83;Phase 1;83;23.4696;0.402336
84;Phase 1;84;23.871936;0.67056
85;Phase 1;85;24.542496;0.849376
86;Phase 1;86;25.391872;0.89408
87;Phase 1;87;26.285952;0.804672
88;Phase 1;88;27.090624;0.759968
89;Phase 1;89;27.850592;0.849376
90;Phase 1;90;28.699968;0.89408
91;Phase 1;91;29.594048;0.715264
92;Phase 1;92;30.309312;0.715264
93;Phase 1;93;31.024576;0.44704
94;Phase 1;94;31.471616;0.089408
95;Phase 1;95;31.561024;0.044704
96;Phase 1;96;31.605728;-0.178816
97;Phase 1;97;31.426912;-0.938784
98;Phase 1;98;30.488128;-0.759968
99;Phase 1;99;29.72816;-0.715264
100;Phase 1;100;29.012896;-0.536448
101;Phase 1;101;28.476448;-0.536448
102;Phase 1;102;27.94;-0.67056
103;Phase 1;103;27.26944;-0.759968
104;Phase 1;104;26.509472;-0.715264
105;Phase 1;105;25.794208;-0.759968
106;Phase 1;106;25.03424;-0.67056
107;Phase 1;107;24.36368;-0.759968
108;Phase 1;108;23.603712;-0.715264
109;Phase 1;109;22.888448;-0.759968
110;Phase 1;110;22.12848;-0.67056
111;Phase 1;111;21.45792;-0.759968
112;Phase 1;112;20.697952;-1.028192
113;Phase 1;113;19.66976;-1.296416
114;Phase 1;114;18.373344;-1.028192
115;Phase 1;115;17.345152;-0.491744
116;Phase 1;116;16.853408;-0.491744
117;Phase 1;117;16.361664;-0.581152
118;Phase 1;118;15.780512;-2.369312
119;Phase 1;119;13.4112;-2.503424
120;Phase 1;120;10.907776;-2.056384
121;Phase 1;121;8.851392;-1.922272
122;Phase 1;122;6.92912;-2.101088
123;Phase 1;123;4.828032;-2.01168
124;Phase 1;124;2.816352;-1.385824
125;Phase 1;125;1.430528;-0.491744
126;Phase 1;126;0.938784;-0.402336
127;Phase 1;127;0.536448;-0.536448
128;Phase 1;128;0;0
129;Phase 1;129;0;0
130;Phase 1;130;0;0
131;Phase 1;131;0;0
132;Phase 1;132;0;0
133;Phase 1;133;0;0
134;Phase 1;134;0;0
135;Phase 1;135;0;1.207008
136;Phase 1;136;1.207008;2.90576
137;Phase 1;137;4.112768;3.084576
138;Phase 1;138;7.197344;2.950464
139;Phase 1;139;10.147808;2.90576
140;Phase 1;140;13.053568;2.2352
141;Phase 1;141;15.288768;2.056384
142;Phase 1;142;17.345152;1.877568
143;Phase 1;143;19.22272;1.028192
144;Phase 1;144;20.250912;0.67056
145;Phase 1;145;20.921472;0.536448
146;Phase 1;146;21.45792;0.67056
147;Phase 1;147;22.12848;0.357632
148;Phase 1;148;22.486112;0.536448
149;Phase 1;149;23.02256;0.312928
150;Phase 1;150;23.335488;0.178816
151;Phase 1;151;23.514304;0.178816
152;Phase 1;152;23.69312;0.357632
153;Phase 1;153;24.050752;0
154;Phase 1;154;24.050752;0
155;Phase 1;155;24.050752;0.357632
156;Phase 1;156;24.408384;0.759968
157;Phase 1;157;25.168352;0.268224
158;Phase 1;158;25.436576;0.536448
159;Phase 1;159;25.973024;0.134112
160;Phase 1;160;26.107136;0.536448
161;Phase 1;161;26.643584;0.134112
162;Phase 1;162;26.777696;0.134112
163;Phase 1;163;26.911808;0.134112
164;Phase 1;164;27.04592;-0.357632
165;Phase 1;165;26.688288;-0.625856
166;Phase 1;166;26.062432;-0.089408
167;Phase 1;167;25.973024;-0.134112
168;Phase 1;168;25.838912;-0.22352
169;Phase 1;169;25.615392;0.089408
170;Phase 1;170;25.7048;-0.402336
171;Phase 1;171;25.302464;0.178816
172;Phase 1;172;25.48128;-0.178816
173;Phase 1;173;25.302464;-0.044704
174;Phase 1;174;25.25776;-0.134112
175;Phase 1;175;25.123648;0.089408
176;Phase 1;176;25.213056;0.089408
177;Phase 1;177;25.302464;-0.089408
178;Phase 1;178;25.213056;-0.134112
179;Phase 1;179;25.078944;-0.044704
180;Phase 1;180;25.03424;-0.044704
181;Phase 1;181;24.989536;-0.491744
182;Phase 1;182;24.497792;-0.268224
183;Phase 1;183;24.229568;0.178816
184;Phase 1;184;24.408384;-1.072896
185;Phase 1;185;23.335488;1.1176
186;Phase 1;186;24.453088;0.44704
187;Phase 1;187;24.900128;0.581152
188;Phase 1;188;25.48128;0.44704
189;Phase 1;189;25.92832;0.044704
190;Phase 1;190;25.973024;0.581152
191;Phase 1;191;26.554176;0.22352
192;Phase 1;192;26.777696;0.491744
193;Phase 1;193;27.26944;0.178816
194;Phase 1;194;27.448256;0.22352
195;Phase 1;195;27.671776;0.268224
196;Phase 1;196;27.94;0
197;Phase 1;197;27.94;0.089408
198;Phase 1;198;28.029408;-0.22352
199;Phase 1;199;27.805888;0.134112
200;Phase 1;200;27.94;0.268224
201;Phase 1;201;28.208224;-0.178816
202;Phase 1;202;28.029408;0.044704
203;Phase 1;203;28.074112;0.089408
204;Phase 1;204;28.16352;0.491744
205;Phase 1;205;28.655264;-0.089408
206;Phase 1;206;28.565856;0.089408
207;Phase 1;207;28.655264;0.089408
208;Phase 1;208;28.744672;0.089408
209;Phase 1;209;28.83408;0.178816
210;Phase 1;210;29.012896;0.178816
211;Phase 1;211;29.191712;0.312928
212;Phase 1;212;29.50464;0
213;Phase 1;213;29.50464;0.178816
214;Phase 1;214;29.683456;-1.028192
215;Phase 1;215;28.655264;-0.22352
216;Phase 1;216;28.431744;0.134112
217;Phase 1;217;28.565856;0.089408
218;Phase 1;218;28.655264;-0.178816
219;Phase 1;219;28.476448;0.268224
220;Phase 1;220;28.744672;-0.044704
221;Phase 1;221;28.699968;-0.134112
222;Phase 1;222;28.565856;0.134112
223;Phase 1;223;28.699968;-0.357632
224;Phase 1;224;28.342336;0.268224
225;Phase 1;225;28.61056;-0.044704
226;Phase 1;226;28.565856;0.044704
227;Phase 1;227;28.61056;-0.089408
228;Phase 1;228;28.521152;0.089408
229;Phase 1;229;28.61056;-0.312928
230;Phase 1;230;28.297632;0.044704
231;Phase 1;231;28.342336;0.22352
232;Phase 1;232;28.565856;0.044704
233;Phase 1;233;28.61056;0.134112
234;Phase 1;234;28.744672;0.22352
235;Phase 1;235;28.968192;0.134112
236;Phase 1;236;29.102304;-0.491744
237;Phase 1;237;28.61056;0.089408
238;Phase 1;238;28.699968;-0.491744
239;Phase 1;239;28.208224;0.268224
240;Phase 1;240;28.476448;-0.268224
241;Phase 1;241;28.208224;0.268224
242;Phase 1;242;28.476448;-0.089408
243;Phase 1;243;28.38704;-0.22352
244;Phase 1;244;28.16352;0.044704
245;Phase 1;245;28.208224;-0.044704
246;Phase 1;246;28.16352;0.134112
247;Phase 1;247;28.297632;0.044704
248;Phase 1;248;28.342336;-0.044704
249;Phase 1;249;28.297632;-0.357632
250;Phase 1;250;27.94;0
251;Phase 1;251;27.94;0.178816
252;Phase 1;252;28.118816;-0.044704
253;Phase 1;253;28.074112;-0.268224
254;Phase 1;254;27.805888;0.089408
255;Phase 1;255;27.895296;-0.044704
256;Phase 1;256;27.850592;0
257;Phase 1;257;27.850592;0.044704
258;Phase 1;258;27.895296;-0.134112
259;Phase 1;259;27.761184;0.178816
260;Phase 1;260;27.94;0.134112
261;Phase 1;261;28.074112;-0.22352
262;Phase 1;262;27.850592;0
263;Phase 1;263;27.850592;0.044704
264;Phase 1;264;27.895296;-0.22352
265;Phase 1;265;27.671776;0.402336
266;Phase 1;266;28.074112;0
267;Phase 1;267;28.074112;-0.22352
268;Phase 1;268;27.850592;0.22352
269;Phase 1;269;28.074112;-0.178816
270;Phase 1;270;27.895296;-0.134112
271;Phase 1;271;27.761184;-0.089408
272;Phase 1;272;27.671776;-0.044704
273;Phase 1;273;27.627072;0.134112
274;Phase 1;274;27.761184;0
275;Phase 1;275;27.761184;0
276;Phase 1;276;27.761184;-0.044704
277;Phase 1;277;27.71648;0.178816
278;Phase 1;278;27.895296;-0.089408
279;Phase 1;279;27.805888;0
280;Phase 1;280;27.805888;0.089408
281;Phase 1;281;27.895296;0.134112
282;Phase 1;282;28.029408;-0.044704
283;Phase 1;283;27.984704;0.491744
284;Phase 1;284;28.476448;0.268224
285;Phase 1;285;28.744672;0.22352
286;Phase 1;286;28.968192;0.134112
287;Phase 1;287;29.102304;0.357632
288;Phase 1;288;29.459936;0.089408
289;Phase 1;289;29.549344;0.402336
290;Phase 1;290;29.95168;0.089408
291;Phase 1;291;30.041088;0.134112
292;Phase 1;292;30.1752;0.357632
293;Phase 1;293;30.532832;0
294;Phase 1;294;30.532832;0.22352
295;Phase 1;295;30.756352;0.134112
296;Phase 1;296;30.890464;0.134112
297;Phase 1;297;31.024576;1.028192
298;Phase 1;298;32.052768;0.178816
299;Phase 1;299;32.231584;1.251712
300;Phase 1;300;33.483296;-1.028192
301;Phase 1;301;32.455104;-0.178816
302;Phase 1;302;32.276288;0
303;Phase 1;303;32.276288;-0.089408
304;Phase 1;304;32.18688;0.22352
305;Phase 1;305;32.4104;0.134112
306;Phase 1;306;32.544512;-0.044704
307;Phase 1;307;32.499808;-0.402336
308;Phase 1;308;32.097472;-0.178816
309;Phase 1;309;31.918656;-0.134112
310;Phase 1;310;31.784544;0
311;Phase 1;311;31.784544;-0.089408
312;Phase 1;312;31.695136;0.044704
313;Phase 1;313;31.73984;0
314;Phase 1;314;31.73984;0.089408
315;Phase 1;315;31.829248;0.402336
316;Phase 1;316;32.231584;0.22352
317;Phase 1;317;32.455104;0.44704
318;Phase 1;318;32.902144;0.536448
319;Phase 1;319;33.438592;0.402336
320;Phase 1;320;33.840928;0.715264
321;Phase 1;321;34.556192;0.491744
322;Phase 1;322;35.047936;0.402336
323;Phase 1;323;35.450272;-0.491744
324;Phase 1;324;34.958528;-0.983488
325;Phase 1;325;33.97504;-0.178816
326;Phase 1;326;33.796224;0.357632
327;Phase 1;327;34.153856;0.536448
328;Phase 1;328;34.690304;0.178816
329;Phase 1;329;34.86912;0.491744
330;Phase 1;330;35.360864;0.178816
331;Phase 1;331;35.53968;0.178816
332;Phase 1;332;35.718496;0
333;Phase 1;333;35.718496;0.178816
334;Phase 1;334;35.897312;0
335;Phase 1;335;35.897312;-0.357632
336;Phase 1;336;35.53968;0
337;Phase 1;337;35.53968;-0.178816
338;Phase 1;338;35.360864;-0.178816
339;Phase 1;339;35.182048;-0.491744
340;Phase 1;340;34.690304;-0.491744
341;Phase 1;341;34.19856;-0.983488
342;Phase 1;342;33.215072;-0.759968
343;Phase 1;343;32.455104;-0.804672
344;Phase 1;344;31.650432;-1.430528
345;Phase 1;345;30.219904;-0.536448
346;Phase 1;346;29.683456;0.134112
347;Phase 1;347;29.817568;-0.268224
348;Phase 1;348;29.549344;-0.089408
349;Phase 1;349;29.459936;0.134112
350;Phase 1;350;29.594048;-0.044704
351;Phase 1;351;29.549344;0.44704
352;Phase 1;352;29.996384;0.134112
353;Phase 1;353;30.130496;0.402336
354;Phase 1;354;30.532832;0
355;Phase 1;355;30.532832;0.178816
356;Phase 1;356;30.711648;-0.22352
357;Phase 1;357;30.488128;-0.044704
358;Phase 1;358;30.443424;-0.044704
359;Phase 1;359;30.39872;-0.402336
360;Phase 1;360;29.996384;-0.312928
361;Phase 1;361;29.683456;-0.134112
362;Phase 1;362;29.549344;-0.178816
363;Phase 1;363;29.370528;0.134112
364;Phase 1;364;29.50464;0.178816
365;Phase 1;365;29.683456;-0.178816
366;Phase 1;366;29.50464;0.134112
367;Phase 1;367;29.638752;0.312928
368;Phase 1;368;29.95168;0.22352
369;Phase 1;369;30.1752;0.178816
370;Phase 1;370;30.354016;0.089408
371;Phase 1;371;30.443424;0.178816
372;Phase 1;372;30.62224;0.178816
373;Phase 1;373;30.801056;-0.134112
374;Phase 1;374;30.666944;0.357632
375;Phase 1;375;31.024576;0
376;Phase 1;376;31.024576;0
377;Phase 1;377;31.024576;0.268224
378;Phase 1;378;31.2928;0.178816
379;Phase 1;379;31.471616;0.089408
380;Phase 1;380;31.561024;0.134112
381;Phase 1;381;31.695136;-0.268224
382;Phase 1;382;31.426912;0.134112
383;Phase 1;383;31.561024;-0.134112
384;Phase 1;384;31.426912;-0.268224
385;Phase 1;385;31.158688;0.089408
386;Phase 1;386;31.248096;0.089408
387;Phase 1;387;31.337504;-0.22352
388;Phase 1;388;31.113984;-0.134112
389;Phase 1;389;30.979872;0.268224
390;Phase 1;390;31.248096;-0.089408
391;Phase 1;391;31.158688;-0.089408
392;Phase 1;392;31.06928;0.178816
393;Phase 1;393;31.248096;0.134112
394;Phase 1;394;31.382208;0
395;Phase 1;395;31.382208;0
396;Phase 1;396;31.382208;0.357632
397;Phase 1;397;31.73984;-0.089408
398;Phase 1;398;31.650432;0.044704
399;Phase 1;399;31.695136;-0.089408
400;Phase 1;400;31.605728;0.089408
401;Phase 1;401;31.695136;0.134112
402;Phase 1;402;31.829248;0.044704
403;Phase 1;403;31.873952;-0.22352
404;Phase 1;404;31.650432;0.178816
405;Phase 1;405;31.829248;0.22352
406;Phase 1;406;32.052768;0.089408
407;Phase 1;407;32.142176;0.312928
408;Phase 1;408;32.455104;-0.134112
409;Phase 1;409;32.320992;0
410;Phase 1;410;32.320992;-0.089408
411;Phase 1;411;32.231584;-0.044704
412;Phase 1;412;32.18688;-0.044704
413;Phase 1;413;32.142176;0.312928
414;Phase 1;414;32.455104;0.089408
415;Phase 1;415;32.544512;0.178816
416;Phase 1;416;32.723328;-0.491744
417;Phase 1;417;32.231584;-0.268224
418;Phase 1;418;31.96336;-0.268224
419;Phase 1;419;31.695136;-0.22352
420;Phase 1;420;31.471616;0.044704
421;Phase 1;421;31.51632;0.178816
422;Phase 1;422;31.695136;-0.312928
423;Phase 1;423;31.382208;0.357632
424;Phase 1;424;31.73984;-0.357632
425;Phase 1;425;31.382208;0.044704
426;Phase 1;426;31.426912;-0.536448
427;Phase 1;427;30.890464;-0.134112
428;Phase 1;428;30.756352;-0.268224
429;Phase 1;429;30.488128;0.044704
430;Phase 1;430;30.532832;-0.044704
431;Phase 1;431;30.488128;-0.22352
432;Phase 1;432;30.264608;-0.178816
433;Phase 1;433;30.085792;0.089408
434;Phase 1;434;30.1752;0.044704
435;Phase 1;435;30.219904;0
436;Phase 1;436;30.219904;-0.178816
437;Phase 1;437;30.041088;-0.089408
438;Phase 1;438;29.95168;-0.312928
439;Phase 1;439;29.638752;0.134112
440;Phase 1;440;29.772864;-0.178816
441;Phase 1;441;29.594048;0.089408
442;Phase 1;442;29.683456;-0.22352
443;Phase 1;443;29.459936;0.089408
444;Phase 1;444;29.549344;-0.268224
445;Phase 1;445;29.28112;-1.475232
446;Phase 1;446;27.805888;0
447;Phase 1;447;27.805888;-0.357632
448;Phase 1;448;27.448256;-0.134112
449;Phase 1;449;27.314144;0.134112
450;Phase 1;450;27.448256;-0.134112
451;Phase 1;451;27.314144;0.134112
452;Phase 1;452;27.448256;0
453;Phase 1;453;27.448256;0.178816
454;Phase 1;454;27.627072;0
455;Phase 1;455;27.627072;0
456;Phase 1;456;27.627072;0
457;Phase 1;457;27.627072;0.178816
458;Phase 1;458;27.805888;-0.178816
459;Phase 1;459;27.627072;0.178816
460;Phase 1;460;27.805888;0.178816
461;Phase 1;461;27.984704;-0.178816
462;Phase 1;462;27.805888;0.178816
463;Phase 1;463;27.984704;-0.178816
464;Phase 1;464;27.805888;0.178816
465;Phase 1;465;27.984704;0
466;Phase 1;466;27.984704;0.178816
467;Phase 1;467;28.16352;-0.178816
468;Phase 1;468;27.984704;-0.178816
469;Phase 1;469;27.805888;-0.491744
470;Phase 1;470;27.314144;-0.715264
471;Phase 1;471;26.59888;-0.312928
472;Phase 1;472;26.285952;-0.89408
473;Phase 1;473;25.391872;-0.491744
474;Phase 1;474;24.900128;-0.715264
475;Phase 1;475;24.184864;-1.162304
476;Phase 1;476;23.02256;-1.028192
477;Phase 1;477;21.994368;-0.178816
478;Phase 1;478;21.815552;-0.536448
479;Phase 1;479;21.279104;-1.207008
480;Phase 1;480;20.072096;-1.519936
481;Phase 1;481;18.55216;-1.922272
482;Phase 1;482;16.629888;-1.162304
483;Phase 1;483;15.467584;-0.715264
484;Phase 1;484;14.75232;-1.698752
485;Phase 1;485;13.053568;-3.084576
486;Phase 1;486;9.968992;-2.056384
487;Phase 1;487;7.912608;-0.178816
488;Phase 1;488;7.733792;-1.475232
489;Phase 1;489;6.25856;-1.78816
490;Phase 1;490;4.4704;-1.78816
491;Phase 1;491;2.68224;-1.78816
492;Phase 1;492;0.89408;-0.89408
493;Phase 1;493;0;0
494;Phase 1;494;0;0
495;Phase 1;495;0;0
496;Phase 1;496;0;0
497;Phase 1;497;0;0
498;Phase 1;498;0;0
499;Phase 1;499;0;0
500;Phase 1;500;0;0.089408
501;Phase 1;501;0.089408;1.877568
502;Phase 1;502;1.966976;2.548128
503;Phase 1;503;4.515104;2.45872
504;Phase 1;504;6.973824;2.324608
505;Phase 1;505;9.298432;1.922272
506;Phase 1;506;11.220704;1.162304
507;Phase 1;507;12.383008;0.22352
508;Phase 1;508;12.606528;-0.625856
509;Phase 1;509;11.980672;-0.89408
510;Phase 1;510;11.086592;-1.072896
511;Phase 1;511;10.013696;-2.369312
512;Phase 1;512;7.644384;-2.592832
513;Phase 1;513;5.051552;-1.966976
514;Phase 1;514;3.084576;0.268224
515;Phase 1;515;3.3528;1.609344
516;Phase 1;516;4.962144;1.922272
517;Phase 1;517;6.884416;2.01168
518;Phase 1;518;8.896096;1.922272
519;Phase 1;519;10.818368;1.296416
520;Phase 1;520;12.114784;0.625856
521;Phase 1;521;12.74064;-0.134112
522;Phase 1;522;12.606528;-1.162304
523;Phase 1;523;11.444224;-1.743456
524;Phase 1;524;9.700768;-1.966976
525;Phase 1;525;7.733792;-2.324608
526;Phase 1;526;5.409184;-2.056384
527;Phase 1;527;3.3528;-0.759968
528;Phase 1;528;2.592832;-1.519936
529;Phase 1;529;1.072896;-0.536448
530;Phase 1;530;0.536448;0.312928
531;Phase 1;531;0.849376;2.145792
532;Phase 1;532;2.995168;2.279904
533;Phase 1;533;5.275072;2.2352
534;Phase 1;534;7.510272;2.190496
535;Phase 1;535;9.700768;1.877568
536;Phase 1;536;11.578336;0.804672
537;Phase 1;537;12.383008;0.134112
538;Phase 1;538;12.51712;-0.402336
539;Phase 1;539;12.114784;-1.207008
540;Phase 1;540;10.907776;-1.877568
541;Phase 1;541;9.030208;-2.2352
542;Phase 1;542;6.795008;-2.637536
543;Phase 1;543;4.157472;-1.922272
544;Phase 1;544;2.2352;-0.938784
545;Phase 1;545;1.296416;-0.22352
546;Phase 1;546;1.072896;2.68224
547;Phase 1;547;3.755136;2.279904
548;Phase 1;548;6.03504;1.922272
549;Phase 1;549;7.957312;1.966976
550;Phase 1;550;9.924288;1.78816
551;Phase 1;551;11.712448;1.698752
552;Phase 1;552;13.4112;-0.089408
553;Phase 1;553;13.321792;-1.698752
554;Phase 1;554;11.62304;-2.101088
555;Phase 1;555;9.521952;-2.279904
556;Phase 1;556;7.242048;-2.145792
557;Phase 1;557;5.096256;-2.145792
558;Phase 1;558;2.950464;-1.78816
559;Phase 1;559;1.162304;-1.162304
560;Phase 1;560;0;0
561;Phase 1;561;0;0
562;Phase 1;562;0;0
563;Phase 1;563;0;0
564;Phase 1;564;0;0
565;Phase 1;565;0;0
566;Phase 1;566;0;0
567;Phase 1;567;0;0.134112
568;Phase 1;568;0.134112;2.726944
569;Phase 1;569;2.861056;2.816352
570;Phase 1;570;5.677408;2.90576
571;Phase 1;571;8.583168;2.056384
572;Phase 1;572;10.639552;1.966976
573;Phase 1;573;12.606528;2.995168
574;Phase 1;574;15.601696;1.162304
575;Phase 1;575;16.764;1.251712
576;Phase 1;576;18.015712;2.101088
577;Phase 1;577;20.1168;2.190496
578;Phase 1;578;22.307296;0.759968
579;Phase 1;579;23.067264;-0.178816
580;Phase 1;580;22.888448;-0.268224
581;Phase 1;581;22.620224;-0.312928
582;Phase 1;582;22.307296;-0.938784
583;Phase 1;583;21.368512;-1.430528
584;Phase 1;584;19.937984;-1.519936
585;Phase 1;585;18.418048;-1.519936
586;Phase 1;586;16.898112;-1.966976
587;Phase 1;587;14.931136;-2.414016
588;Phase 1;588;12.51712;-1.922272
589;Phase 1;589;10.594848;-2.190496
590;Phase 1;590;8.404352;-2.637536
