TotalTime;Phase;PhaseTime;Vel;Acc
0;Phase 1;0;0;0
1;Phase 1;1;0;0
2;Phase 1;2;0;0.89408
3;Phase 1;3;0.89408;1.296416
4;Phase 1;4;2.190496;1.430528
5;Phase 1;5;3.621024;1.430528
6;Phase 1;6;5.051552;1.430528
7;Phase 1;7;6.48208;1.251712
8;Phase 1;8;7.733792;1.028192
9;Phase 1;9;8.761984;0.983488
10;Phase 1;10;9.745472;0.983488
11;Phase 1;11;10.72896;0.804672
12;Phase 1;12;11.533632;0.581152
13;Phase 1;13;12.114784;0.402336
14;Phase 1;14;12.51712;0.44704
15;Phase 1;15;12.96416;0.44704
16;Phase 1;16;13.4112;0.312928
17;Phase 1;17;13.724128;0.357632
18;Phase 1;18;14.08176;0.312928
19;Phase 1;19;14.394688;0.312928
20;Phase 1;20;14.707616;0.268224
21;Phase 1;21;14.97584;0.268224
22;Phase 1;22;15.244064;0.22352
23;Phase 1;23;15.467584;0.134112
24;Phase 1;24;15.601696;0.089408
25;Phase 1;25;15.691104;0.268224
26;Phase 1;26;15.959328;0.089408
27;Phase 1;27;16.048736;-0.044704
28;Phase 1;28;16.004032;-0.22352
29;Phase 1;29;15.780512;-0.178816
30;Phase 1;30;15.601696;-0.178816
31;Phase 1;31;15.42288;0.044704
32;Phase 1;32;15.467584;0.089408
33;Phase 1;33;15.556992;0.134112
34;Phase 1;34;15.691104;0.268224
35;Phase 1;35;15.959328;0.178816
36;Phase 1;36;16.138144;0.044704
37;Phase 1;37;16.182848;0.134112
38;Phase 1;38;16.31696;0.089408
39;Phase 1;39;16.406368;0.089408
40;Phase 1;40;16.495776;0.044704
41;Phase 1;41;16.54048;0
42;Phase 1;42;16.54048;0
43;Phase 1;43;16.54048;0
44;Phase 1;44;16.54048;0
45;Phase 1;45;16.54048;0
46;Phase 1;46;16.54048;0.044704
47;Phase 1;47;16.585184;0.089408
48;Phase 1;48;16.674592;0.22352
49;Phase 1;49;16.898112;0.357632
50;Phase 1;50;17.255744;0.312928
51;Phase 1;51;17.568672;0.312928
52;Phase 1;52;17.8816;0.312928
53;Phase 1;53;18.194528;0.312928
54;Phase 1;54;18.507456;0.357632
55;Phase 1;55;18.865088;0.312928
56;Phase 1;56;19.178016;0.268224
57;Phase 1;57;19.44624;0.22352
58;Phase 1;58;19.66976;0.134112
59;Phase 1;59;19.803872;0.089408
60;Phase 1;60;19.89328;0.134112
