TotalTime;Phase;PhaseTime;Vel;Acc
0;Phase 1;0;0;0
1;Phase 1;1;0;0
2;Phase 1;2;0;0
3;Phase 1;3;0;0
4;Phase 1;4;0;0
5;Phase 1;5;0;0
6;Phase 1;6;0;0
7;Phase 1;7;0;0
8;Phase 1;8;0;0
9;Phase 1;9;0;0
10;Phase 1;10;0;0
11;Phase 1;11;0;0
12;Phase 1;12;0;0
13;Phase 1;13;0;0
14;Phase 1;14;0;0
15;Phase 1;15;0;0
16;Phase 1;16;0;0
17;Phase 1;17;0;0
18;Phase 1;18;0;0
19;Phase 1;19;0;0
20;Phase 1;20;0;0
21;Phase 1;21;0;0
22;Phase 1;22;0;0
23;Phase 1;23;0;0
24;Phase 1;24;0;0
25;Phase 1;25;0;0
26;Phase 1;26;0;0
27;Phase 1;27;0;0
28;Phase 1;28;0;0
29;Phase 1;29;0;0
30;Phase 1;30;0;0
31;Phase 1;31;0;0
32;Phase 1;32;0;0
33;Phase 1;33;0;0
34;Phase 1;34;0;0
35;Phase 1;35;0;0
36;Phase 1;36;0;0
37;Phase 1;37;0;0
38;Phase 1;38;0;0
39;Phase 1;39;0;0
40;Phase 1;40;0;0
41;Phase 1;41;0;0
42;Phase 1;42;0;0
43;Phase 1;43;0;0
44;Phase 1;44;0;0
45;Phase 1;45;0;0
46;Phase 1;46;0;0.178816
47;Phase 1;47;0.178816;1.072896
48;Phase 1;48;1.251712;1.251712
49;Phase 1;49;2.503424;0.625856
50;Phase 1;50;3.12928;0.268224
51;Phase 1;51;3.397504;0
52;Phase 1;52;3.397504;-0.625856
53;Phase 1;53;2.771648;0.089408
54;Phase 1;54;2.861056;0.536448
55;Phase 1;55;3.397504;0.849376
56;Phase 1;56;4.24688;-0.268224
57;Phase 1;57;3.978656;-0.134112
58;Phase 1;58;3.844544;0.44704
59;Phase 1;59;4.291584;1.251712
60;Phase 1;60;5.543296;1.162304
61;Phase 1;61;6.7056;1.251712
62;Phase 1;62;7.957312;1.430528
63;Phase 1;63;9.38784;0.849376
64;Phase 1;64;10.237216;-0.536448
65;Phase 1;65;9.700768;-1.56464
66;Phase 1;66;8.136128;-1.654048
67;Phase 1;67;6.48208;-1.922272
68;Phase 1;68;4.559808;-2.056384
69;Phase 1;69;2.503424;-1.385824
70;Phase 1;70;1.1176;-0.178816
71;Phase 1;71;0.938784;0.44704
72;Phase 1;72;1.385824;1.162304
