TotalTime;Phase;PhaseTime;Vel;Acc
1;Phase 1;1;0;0
2;Phase 1;2;0;0
3;Phase 1;3;0;0
4;Phase 1;4;0;0
5;Phase 1;5;0;0.333333333
6;Phase 1;6;0.333333333;1.430555556
7;Phase 1;7;1.763888889;2.15
8;Phase 1;8;3.913888889;1.963888889
9;Phase 1;9;5.877777778;1.216666667
10;Phase 1;10;7.094444444;0.655555556
11;Phase 1;11;7.75;0.641666667
12;Phase 1;12;8.391666667;0.763888889
13;Phase 1;13;9.155555556;0.608333333
14;Phase 1;14;9.763888889;0.272222222
15;Phase 1;15;10.03611111;0.077777778
16;Phase 1;16;10.11388889;0.113888889
17;Phase 1;17;10.22777778;0.102777778
18;Phase 1;18;10.33055556;-0.125
19;Phase 1;19;10.20555556;-0.719444444
20;Phase 1;20;9.486111111;-1.341666667
21;Phase 1;21;8.144444444;-1.633333333
22;Phase 1;22;6.511111111;-1.4
23;Phase 1;23;5.111111111;-0.647222222
24;Phase 1;24;4.463888889;0.138888889
25;Phase 1;25;4.602777778;0.919444444
26;Phase 1;26;5.522222222;1.541666667
27;Phase 1;27;7.063888889;1.894444444
28;Phase 1;28;8.958333333;1.802777778
29;Phase 1;29;10.76111111;1.144444444
30;Phase 1;30;11.90555556;0.213888889
31;Phase 1;31;12.11944444;-0.461111111
32;Phase 1;32;11.65833333;-1.063888889
33;Phase 1;33;10.59444444;-1.544444444
34;Phase 1;34;9.05;-1.947222222
35;Phase 1;35;7.102777778;-2.052777778
36;Phase 1;36;5.05;-1.791666667
37;Phase 1;37;3.258333333;-1.372222222
38;Phase 1;38;1.886111111;-0.952777778
39;Phase 1;39;0.933333333;-0.583333333
40;Phase 1;40;0.35;-0.35
41;Phase 1;41;0;0
42;Phase 1;42;0;0
43;Phase 1;43;0;0
44;Phase 1;44;0;0
45;Phase 1;45;0;0.683333333
46;Phase 1;46;0.683333333;1.269444444
47;Phase 1;47;1.952777778;1.505555556
48;Phase 1;48;3.458333333;1.013888889
49;Phase 1;49;4.472222222;0.330555556
50;Phase 1;50;4.802777778;-0.005555556
51;Phase 1;51;4.797222222;-0.194444444
52;Phase 1;52;4.602777778;-0.447222222
53;Phase 1;53;4.155555556;-0.705555556
54;Phase 1;54;3.45;-0.991666667
55;Phase 1;55;2.458333333;-0.869444444
56;Phase 1;56;1.588888889;-0.302777778
57;Phase 1;57;1.286111111;0.258333333
58;Phase 1;58;1.544444444;0.955555556
59;Phase 1;59;2.5;1.588888889
60;Phase 1;60;4.088888889;1.830555556
61;Phase 1;61;5.919444444;1.85
62;Phase 1;62;7.769444444;1.672222222
63;Phase 1;63;9.441666667;1.375
64;Phase 1;64;10.81666667;1.2
65;Phase 1;65;12.01666667;1.122222222
66;Phase 1;66;13.13888889;0.969444444
67;Phase 1;67;14.10833333;0.7
68;Phase 1;68;14.80833333;0.369444444
69;Phase 1;69;15.17777778;0.147222222
70;Phase 1;70;15.325;0.1
71;Phase 1;71;15.425;0.091666667
72;Phase 1;72;15.51666667;-0.119444444
73;Phase 1;73;15.39722222;-0.65
74;Phase 1;74;14.74722222;-1.183333333
75;Phase 1;75;13.56388889;-1.383333333
76;Phase 1;76;12.18055556;-1.494444444
77;Phase 1;77;10.68611111;-1.847222222
78;Phase 1;78;8.838888889;-2.102777778
79;Phase 1;79;6.736111111;-1.866666667
80;Phase 1;80;4.869444444;-1.380555556
81;Phase 1;81;3.488888889;-1.091666667
82;Phase 1;82;2.397222222;-1.052777778
83;Phase 1;83;1.344444444;-0.869444444
84;Phase 1;84;0.475;-0.475
85;Phase 1;85;0;0
86;Phase 1;86;0;0
87;Phase 1;87;0;0
88;Phase 1;88;0;0
89;Phase 1;89;0;0.316666667
90;Phase 1;90;0.316666667;1.344444444
91;Phase 1;91;1.661111111;2.188888889
92;Phase 1;92;3.85;1.908333333
93;Phase 1;93;5.758333333;1.041666667
94;Phase 1;94;6.8;0.769444444
95;Phase 1;95;7.569444444;1.116666667
96;Phase 1;96;8.686111111;1.327777778
97;Phase 1;97;10.01388889;1.063888889
98;Phase 1;98;11.07777778;0.633333333
99;Phase 1;99;11.71111111;0.347222222
100;Phase 1;100;12.05833333;0.172222222
101;Phase 1;101;12.23055556;0.013888889
102;Phase 1;102;12.24444444;-0.411111111
103;Phase 1;103;11.83333333;-1.219444444
104;Phase 1;104;10.61388889;-1.8
105;Phase 1;105;8.813888889;-2.002777778
106;Phase 1;106;6.811111111;-2.169444444
107;Phase 1;107;4.641666667;-2.088888889
108;Phase 1;108;2.552777778;-1.538888889
109;Phase 1;109;1.013888889;-1.013888889
110;Phase 1;110;0;0
111;Phase 1;111;0;0
112;Phase 1;112;0;0
113;Phase 1;113;0;0
114;Phase 1;114;0;0.280555556
115;Phase 1;115;0.280555556;0.558333333
116;Phase 1;116;0.838888889;0.713888889
117;Phase 1;117;1.552777778;0.530555556
118;Phase 1;118;2.083333333;0.169444444
119;Phase 1;119;2.252777778;0
120;Phase 1;120;2.252777778;0.316666667
121;Phase 1;121;2.569444444;1.130555556
122;Phase 1;122;3.7;1.952777778
123;Phase 1;123;5.652777778;2.125
124;Phase 1;124;7.777777778;1.875
125;Phase 1;125;9.652777778;1.783333333
126;Phase 1;126;11.43611111;1.577777778
127;Phase 1;127;13.01388889;0.891666667
128;Phase 1;128;13.90555556;0.202777778
129;Phase 1;129;14.10833333;-0.172222222
130;Phase 1;130;13.93611111;-0.466666667
131;Phase 1;131;13.46944444;-0.633333333
132;Phase 1;132;12.83611111;-0.677777778
133;Phase 1;133;12.15833333;-0.655555556
134;Phase 1;134;11.50277778;-0.5
135;Phase 1;135;11.00277778;-0.283333333
136;Phase 1;136;10.71944444;-0.097222222
137;Phase 1;137;10.62222222;0.052777778
138;Phase 1;138;10.675;-0.022222222
139;Phase 1;139;10.65277778;-0.641666667
140;Phase 1;140;10.01111111;-1.738888889
141;Phase 1;141;8.272222222;-2.541666667
142;Phase 1;142;5.730555556;-2.394444444
143;Phase 1;143;3.336111111;-1.755555556
144;Phase 1;144;1.580555556;-1.036111111
145;Phase 1;145;0.544444444;-0.544444444
146;Phase 1;146;0;0
147;Phase 1;147;0;0
148;Phase 1;148;0;0
149;Phase 1;149;0;0
150;Phase 1;150;0;0.783333333
151;Phase 1;151;0.783333333;1.452777778
152;Phase 1;152;2.236111111;2.105555556
153;Phase 1;153;4.341666667;2.502777778
154;Phase 1;154;6.844444444;2.247222222
155;Phase 1;155;9.091666667;1.455555556
156;Phase 1;156;10.54722222;0.733333333
157;Phase 1;157;11.28055556;0.291666667
158;Phase 1;158;11.57222222;0.136111111
159;Phase 1;159;11.70833333;0.238888889
160;Phase 1;160;11.94722222;0.463888889
161;Phase 1;161;12.41111111;0.488888889
162;Phase 1;162;12.9;0.208333333
163;Phase 1;163;13.10833333;-0.058333333
164;Phase 1;164;13.05;-0.425
165;Phase 1;165;12.625;-1.2
166;Phase 1;166;11.425;-1.705555556
167;Phase 1;167;9.719444444;-1.155555556
168;Phase 1;168;8.563888889;-0.294444444
169;Phase 1;169;8.269444444;0.419444444
170;Phase 1;170;8.688888889;1.286111111
171;Phase 1;171;9.975;1.305555556
172;Phase 1;172;11.28055556;0.441666667
173;Phase 1;173;11.72222222;-0.658333333
174;Phase 1;174;11.06388889;-2.075
175;Phase 1;175;8.988888889;-2.486111111
176;Phase 1;176;6.502777778;-1.383333333
177;Phase 1;177;5.119444444;-0.311111111
178;Phase 1;178;4.808333333;0.291666667
179;Phase 1;179;5.1;1.086111111
180;Phase 1;180;6.186111111;1.638888889
181;Phase 1;181;7.825;1.216666667
182;Phase 1;182;9.041666667;0.4
183;Phase 1;183;9.441666667;-0.005555556
184;Phase 1;184;9.436111111;-0.233333333
185;Phase 1;185;9.202777778;-0.530555556
186;Phase 1;186;8.672222222;-0.677777778
187;Phase 1;187;7.994444444;-0.680555556
188;Phase 1;188;7.313888889;-0.577777778
189;Phase 1;189;6.736111111;-0.352777778
190;Phase 1;190;6.383333333;-0.247222222
191;Phase 1;191;6.136111111;-0.469444444
192;Phase 1;192;5.666666667;-0.85
193;Phase 1;193;4.816666667;-0.991666667
194;Phase 1;194;3.825;-0.886111111
195;Phase 1;195;2.938888889;-0.858333333
196;Phase 1;196;2.080555556;-0.861111111
197;Phase 1;197;1.219444444;-0.625
198;Phase 1;198;0.594444444;-0.3
199;Phase 1;199;0.294444444;-0.294444444
200;Phase 1;200;0;0
201;Phase 1;201;0;0
202;Phase 1;202;0;0
203;Phase 1;203;0;0
204;Phase 1;204;0;0.416666667
205;Phase 1;205;0.416666667;0.927777778
206;Phase 1;206;1.344444444;1.25
207;Phase 1;207;2.594444444;1.136111111
208;Phase 1;208;3.730555556;0.941666667
209;Phase 1;209;4.672222222;0.986111111
210;Phase 1;210;5.658333333;1.388888889
211;Phase 1;211;7.047222222;2.116666667
212;Phase 1;212;9.163888889;2.463888889
213;Phase 1;213;11.62777778;1.686111111
214;Phase 1;214;13.31388889;0.486111111
215;Phase 1;215;13.8;-0.108333333
216;Phase 1;216;13.69166667;-0.441666667
217;Phase 1;217;13.25;-0.730555556
218;Phase 1;218;12.51944444;-0.830555556
219;Phase 1;219;11.68888889;-1.041666667
220;Phase 1;220;10.64722222;-1.230555556
221;Phase 1;221;9.416666667;-0.95
222;Phase 1;222;8.466666667;-0.391666667
223;Phase 1;223;8.075;-0.019444444
224;Phase 1;224;8.055555556;0.119444444
225;Phase 1;225;8.175;0.116666667
226;Phase 1;226;8.291666667;0.022222222
227;Phase 1;227;8.313888889;-0.127777778
228;Phase 1;228;8.186111111;-0.358333333
229;Phase 1;229;7.827777778;-0.786111111
230;Phase 1;230;7.041666667;-1.613888889
231;Phase 1;231;5.427777778;-2.338888889
232;Phase 1;232;3.088888889;-2.016666667
233;Phase 1;233;1.072222222;-1.072222222
234;Phase 1;234;0;0
235;Phase 1;235;0;0
236;Phase 1;236;0;0
237;Phase 1;237;0;0
238;Phase 1;238;0;1.255555556
239;Phase 1;239;1.255555556;1.983333333
240;Phase 1;240;3.238888889;1.986111111
241;Phase 1;241;5.225;1.288888889
242;Phase 1;242;6.513888889;0.580555556
243;Phase 1;243;7.094444444;0.052777778
244;Phase 1;244;7.147222222;-0.177777778
245;Phase 1;245;6.969444444;-0.105555556
246;Phase 1;246;6.863888889;0.219444444
247;Phase 1;247;7.083333333;0.805555556
248;Phase 1;248;7.888888889;1.372222222
249;Phase 1;249;9.261111111;1.572222222
250;Phase 1;250;10.83333333;1.355555556
251;Phase 1;251;12.18888889;0.808333333
252;Phase 1;252;12.99722222;0.225
253;Phase 1;253;13.22222222;-0.047222222
254;Phase 1;254;13.175;-0.358333333
255;Phase 1;255;12.81666667;-0.863888889
256;Phase 1;256;11.95277778;-1.161111111
257;Phase 1;257;10.79166667;-1.344444444
258;Phase 1;258;9.447222222;-1.575
259;Phase 1;259;7.872222222;-1.861111111
260;Phase 1;260;6.011111111;-2.186111111
261;Phase 1;261;3.825;-2.094444444
262;Phase 1;262;1.730555556;-1.341666667
263;Phase 1;263;0.388888889;-0.388888889
264;Phase 1;264;0;0
265;Phase 1;265;0;0
266;Phase 1;266;0;0
267;Phase 1;267;0;0
268;Phase 1;268;0;0.597222222
269;Phase 1;269;0.597222222;1.247222222
270;Phase 1;270;1.844444444;1.875
271;Phase 1;271;3.719444444;2.152777778
272;Phase 1;272;5.872222222;1.963888889
273;Phase 1;273;7.836111111;1.636111111
274;Phase 1;274;9.472222222;1.405555556
275;Phase 1;275;10.87777778;0.997222222
276;Phase 1;276;11.875;0.469444444
277;Phase 1;277;12.34444444;0.213888889
278;Phase 1;278;12.55833333;0.225
279;Phase 1;279;12.78333333;0.2
280;Phase 1;280;12.98333333;0.075
281;Phase 1;281;13.05833333;-0.038888889
282;Phase 1;282;13.01944444;-0.183333333
283;Phase 1;283;12.83611111;-0.377777778
284;Phase 1;284;12.45833333;-0.619444444
285;Phase 1;285;11.83888889;-1.016666667
286;Phase 1;286;10.82222222;-1.586111111
287;Phase 1;287;9.236111111;-1.927777778
288;Phase 1;288;7.308333333;-1.677777778
289;Phase 1;289;5.630555556;-1.205555556
290;Phase 1;290;4.425;-0.936111111
291;Phase 1;291;3.488888889;-0.811111111
292;Phase 1;292;2.677777778;-0.744444444
293;Phase 1;293;1.933333333;-0.75
294;Phase 1;294;1.183333333;-0.672222222
295;Phase 1;295;0.511111111;-0.511111111
296;Phase 1;296;0;0
297;Phase 1;297;0;0
298;Phase 1;298;0;0
299;Phase 1;299;0;0
300;Phase 1;300;0;0.869444444
301;Phase 1;301;0.869444444;0.694444444
302;Phase 1;302;1.563888889;0.866666667
303;Phase 1;303;2.430555556;1.388888889
304;Phase 1;304;3.819444444;1.911111111
305;Phase 1;305;5.730555556;1.908333333
306;Phase 1;306;7.638888889;1.216666667
307;Phase 1;307;8.855555556;2.777777778
308;Phase 1;308;11.63333333;2.255555556
309;Phase 1;309;13.88888889;1.041666667
310;Phase 1;310;14.93055556;0.175
311;Phase 1;311;15.10555556;0.866666667
312;Phase 1;312;15.97222222;0.175
313;Phase 1;313;16.14722222;-0.522222222
314;Phase 1;314;15.625;0.175
315;Phase 1;315;15.8;0.519444444
316;Phase 1;316;16.31944444;1.216666667
317;Phase 1;317;17.53611111;2.083333333
318;Phase 1;318;19.61944444;1.736111111
319;Phase 1;319;21.35555556;0.519444444
320;Phase 1;320;21.875;-0.347222222
321;Phase 1;321;21.52777778;-0.347222222
322;Phase 1;322;21.18055556;-0.172222222
323;Phase 1;323;21.00833333;-0.175
324;Phase 1;324;20.83333333;0
325;Phase 1;325;20.83333333;0.522222222
326;Phase 1;326;21.35555556;1.213888889
327;Phase 1;327;22.56944444;0.694444444
328;Phase 1;328;23.26388889;-0.519444444
329;Phase 1;329;22.74444444;-1.736111111
330;Phase 1;330;21.00833333;-2.083333333
331;Phase 1;331;18.925;-1.041666667
332;Phase 1;332;17.88333333;-0.869444444
333;Phase 1;333;17.01388889;-0.866666667
334;Phase 1;334;16.14722222;-0.522222222
335;Phase 1;335;15.625;0.175
336;Phase 1;336;15.8;1.213888889
337;Phase 1;337;17.01388889;1.216666667
338;Phase 1;338;18.23055556;0.866666667
339;Phase 1;339;19.09722222;0.347222222
340;Phase 1;340;19.44444444;0.522222222
341;Phase 1;341;19.96666667;0.347222222
342;Phase 1;342;20.31388889;-0.175
343;Phase 1;343;20.13888889;-0.347222222
344;Phase 1;344;19.79166667;-0.347222222
345;Phase 1;345;19.44444444;-0.347222222
346;Phase 1;346;19.09722222;-0.866666667
347;Phase 1;347;18.23055556;-0.522222222
348;Phase 1;348;17.70833333;-0.172222222
349;Phase 1;349;17.53611111;-2.258333333
350;Phase 1;350;15.27777778;-2.602777778
351;Phase 1;351;12.675;-1.736111111
352;Phase 1;352;10.93888889;-1.216666667
353;Phase 1;353;9.722222222;-1.388888889
354;Phase 1;354;8.333333333;-0.694444444
355;Phase 1;355;7.638888889;-0.172222222
356;Phase 1;356;7.466666667;-1.041666667
357;Phase 1;357;6.425;-0.869444444
358;Phase 1;358;5.555555556;-1.213888889
359;Phase 1;359;4.341666667;-0.175
360;Phase 1;360;4.166666667;0
361;Phase 1;361;4.166666667;0
362;Phase 1;362;4.166666667;0.347222222
363;Phase 1;363;4.513888889;0.175
364;Phase 1;364;4.688888889;0.694444444
365;Phase 1;365;5.383333333;0.694444444
366;Phase 1;366;6.077777778;0.347222222
367;Phase 1;367;6.425;0.519444444
368;Phase 1;368;6.944444444;-0.172222222
369;Phase 1;369;6.772222222;-0.869444444
370;Phase 1;370;5.902777778;-0.866666667
371;Phase 1;371;5.036111111;-0.347222222
372;Phase 1;372;4.688888889;-1.041666667
373;Phase 1;373;3.647222222;-1.736111111
374;Phase 1;374;1.911111111;-1.563888889
375;Phase 1;375;0.347222222;-0.347222222
376;Phase 1;376;0;0
377;Phase 1;377;0;0
378;Phase 1;378;0;0
379;Phase 1;379;0;0
380;Phase 1;380;0;2.355555556
381;Phase 1;381;2.355555556;2.877777778
382;Phase 1;382;5.233333333;0.830555556
383;Phase 1;383;6.063888889;1.308333333
384;Phase 1;384;7.372222222;1.833333333
385;Phase 1;385;9.205555556;1.691666667
386;Phase 1;386;10.89722222;0.388888889
387;Phase 1;387;11.28611111;0.941666667
388;Phase 1;388;12.22777778;1.205555556
389;Phase 1;389;13.43333333;1.044444444
390;Phase 1;390;14.47777778;0.894444444
391;Phase 1;391;15.37222222;0.191666667
392;Phase 1;392;15.56388889;-0.163888889
393;Phase 1;393;15.4;0.336111111
394;Phase 1;394;15.73611111;0.869444444
395;Phase 1;395;16.60555556;1.025
396;Phase 1;396;17.63055556;0.652777778
397;Phase 1;397;18.28333333;0.519444444
398;Phase 1;398;18.80277778;0.313888889
399;Phase 1;399;19.11666667;0.183333333
400;Phase 1;400;19.3;0.097222222
401;Phase 1;401;19.39722222;0.022222222
402;Phase 1;402;19.41944444;0.013888889
403;Phase 1;403;19.43333333;-0.219444444
404;Phase 1;404;19.21388889;-0.225
405;Phase 1;405;18.98888889;-0.155555556
406;Phase 1;406;18.83333333;-0.325
407;Phase 1;407;18.50833333;-0.630555556
408;Phase 1;408;17.87777778;-0.858333333
409;Phase 1;409;17.01944444;-1.325
410;Phase 1;410;15.69444444;-1.352777778
411;Phase 1;411;14.34166667;-1.161111111
412;Phase 1;412;13.18055556;-0.961111111
413;Phase 1;413;12.21944444;-0.997222222
414;Phase 1;414;11.22222222;-1.45
415;Phase 1;415;9.772222222;-1.430555556
416;Phase 1;416;8.341666667;-1.786111111
417;Phase 1;417;6.555555556;-1.769444444
418;Phase 1;418;4.786111111;-1.863888889
419;Phase 1;419;2.922222222;-1.563888889
420;Phase 1;420;1.358333333;-1.358333333
421;Phase 1;421;0;0
422;Phase 1;422;0;0
423;Phase 1;423;0;0
424;Phase 1;424;0;0
425;Phase 1;425;0;0.527777778
426;Phase 1;426;0.527777778;0.544444444
427;Phase 1;427;1.072222222;0.394444444
428;Phase 1;428;1.466666667;0.119444444
429;Phase 1;429;1.586111111;-0.002777778
430;Phase 1;430;1.583333333;-0.058333333
431;Phase 1;431;1.525;-0.136111111
432;Phase 1;432;1.388888889;-0.169444444
433;Phase 1;433;1.219444444;-0.125
434;Phase 1;434;1.094444444;-0.044444444
435;Phase 1;435;1.05;0.005555556
436;Phase 1;436;1.055555556;0.022222222
437;Phase 1;437;1.077777778;0.022222222
438;Phase 1;438;1.1;0.133333333
439;Phase 1;439;1.233333333;0.677777778
440;Phase 1;440;1.911111111;1.555555556
441;Phase 1;441;3.466666667;2.027777778
442;Phase 1;442;5.494444444;1.891666667
443;Phase 1;443;7.386111111;1.7
444;Phase 1;444;9.086111111;1.255555556
445;Phase 1;445;10.34166667;0.416666667
446;Phase 1;446;10.75833333;-0.316666667
447;Phase 1;447;10.44166667;-1.375
448;Phase 1;448;9.066666667;-1.8
449;Phase 1;449;7.266666667;-0.741666667
450;Phase 1;450;6.525;0.05
451;Phase 1;451;6.575;0.825
452;Phase 1;452;7.4;1.505555556
453;Phase 1;453;8.905555556;0.727777778
454;Phase 1;454;9.633333333;-0.625
455;Phase 1;455;9.008333333;-2.088888889
456;Phase 1;456;6.919444444;-2.697222222
457;Phase 1;457;4.222222222;-1.638888889
458;Phase 1;458;2.583333333;-0.4
459;Phase 1;459;2.183333333;0.447222222
460;Phase 1;460;2.630555556;1.505555556
461;Phase 1;461;4.136111111;2.305555556
462;Phase 1;462;6.441666667;2.408333333
463;Phase 1;463;8.85;1.983333333
464;Phase 1;464;10.83333333;1.241666667
465;Phase 1;465;12.075;0.516666667
466;Phase 1;466;12.59166667;0.108333333
467;Phase 1;467;12.7;-0.083333333
468;Phase 1;468;12.61666667;-0.466666667
469;Phase 1;469;12.15;-1.180555556
470;Phase 1;470;10.96944444;-2.025
471;Phase 1;471;8.944444444;-2.711111111
472;Phase 1;472;6.233333333;-2.558333333
473;Phase 1;473;3.675;-1.386111111
474;Phase 1;474;2.288888889;-0.3
475;Phase 1;475;1.988888889;0.336111111
476;Phase 1;476;2.325;0.955555556
477;Phase 1;477;3.280555556;1.325
478;Phase 1;478;4.605555556;1.588888889
479;Phase 1;479;6.194444444;1.916666667
480;Phase 1;480;8.111111111;1.763888889
481;Phase 1;481;9.875;0.977777778
482;Phase 1;482;10.85277778;0.205555556
483;Phase 1;483;11.05833333;-0.216666667
484;Phase 1;484;10.84166667;-0.333333333
485;Phase 1;485;10.50833333;-0.152777778
486;Phase 1;486;10.35555556;0.305555556
487;Phase 1;487;10.66111111;0.925
488;Phase 1;488;11.58611111;0.938888889
489;Phase 1;489;12.525;0.316666667
490;Phase 1;490;12.84166667;-0.469444444
491;Phase 1;491;12.37222222;-1.286111111
492;Phase 1;492;11.08611111;-1.377777778
493;Phase 1;493;9.708333333;-1.025
494;Phase 1;494;8.683333333;-0.755555556
495;Phase 1;495;7.927777778;-0.333333333
496;Phase 1;496;7.594444444;0.052777778
497;Phase 1;497;7.647222222;0.683333333
498;Phase 1;498;8.330555556;1.586111111
499;Phase 1;499;9.916666667;1.933333333
500;Phase 1;500;11.85;1.736111111
501;Phase 1;501;13.58611111;1.419444444
502;Phase 1;502;15.00555556;1.088888889
503;Phase 1;503;16.09444444;0.813888889
504;Phase 1;504;16.90833333;0.586111111
505;Phase 1;505;17.49444444;0.413888889
506;Phase 1;506;17.90833333;0.425
507;Phase 1;507;18.33333333;0.733333333
508;Phase 1;508;19.06666667;1.194444444
509;Phase 1;509;20.26111111;1.411111111
510;Phase 1;510;21.67222222;1.263888889
511;Phase 1;511;22.93611111;1.019444444
512;Phase 1;512;23.95555556;0.858333333
513;Phase 1;513;24.81388889;0.761111111
514;Phase 1;514;25.575;0.691666667
515;Phase 1;515;26.26666667;0.608333333
516;Phase 1;516;26.875;0.491666667
517;Phase 1;517;27.36666667;0.294444444
518;Phase 1;518;27.66111111;0.097222222
519;Phase 1;519;27.75833333;0.008333333
520;Phase 1;520;27.76666667;-0.097222222
521;Phase 1;521;27.66944444;-0.355555556
522;Phase 1;522;27.31388889;-0.588888889
523;Phase 1;523;26.725;-0.658333333
524;Phase 1;524;26.06666667;-0.775
525;Phase 1;525;25.29166667;-1.066666667
526;Phase 1;526;24.225;-1.205555556
527;Phase 1;527;23.01944444;-0.883333333
528;Phase 1;528;22.13611111;-0.394444444
529;Phase 1;529;21.74166667;-0.113888889
530;Phase 1;530;21.62777778;-0.030555556
531;Phase 1;531;21.59722222;-0.011111111
532;Phase 1;532;21.58611111;0.05
533;Phase 1;533;21.63611111;0.183333333
534;Phase 1;534;21.81944444;0.325
535;Phase 1;535;22.14444444;0.444444444
536;Phase 1;536;22.58888889;0.527777778
537;Phase 1;537;23.11666667;0.566666667
538;Phase 1;538;23.68333333;0.611111111
539;Phase 1;539;24.29444444;0.627777778
540;Phase 1;540;24.92222222;0.452777778
541;Phase 1;541;25.375;0.141666667
542;Phase 1;542;25.51666667;-0.011111111
543;Phase 1;543;25.50555556;-0.166666667
544;Phase 1;544;25.33888889;-0.380555556
545;Phase 1;545;24.95833333;-0.361111111
546;Phase 1;546;24.59722222;-0.227777778
547;Phase 1;547;24.36944444;-0.244444444
548;Phase 1;548;24.125;-0.480555556
549;Phase 1;549;23.64444444;-0.930555556
550;Phase 1;550;22.71388889;-1.525
551;Phase 1;551;21.18888889;-1.866666667
552;Phase 1;552;19.32222222;-1.644444444
