Artemis Rural Road Cycle
Update 17/11/2000

DieselNet.com, 2018.02
https://dieselnet.com/standards/cycles/artemis.php

Time	Speed
s	km/h

1	0	----> Pre-Cycle (urban condition)
2	0
3	0
4	0
5	0
6	2
7	9.4
8	16.3
9	19.7
10	21.2
11	24.1
12	27.6
13	29.1
14	32.5
15	36.5
16	37
17	38.4
18	41.4
19	43.4
20	44.4
21	45.8
22	47.3
23	48.3
24	49.3
25	49.8
26	49.3
27	46.3
28	42.4
29	38.4
30	34.5
31	28.6
32	24.6
33	21.7
34	19.7
35	18.2
36	18.7
37	20.2
38	23.2
39	25.6
40	30.1
41	33.5
42	37.9
43	37.9
44	39.4
45	42.4
46	44.8
47	46.3
48	46.3
49	46.8
50	47.3
51	46.8
52	45.8
53	43.9
54	41.9
55	41.9
56	41.9
57	43.9
58	45.3
59	45.8
60	46.3
61	46.3
62	45.8
63	44.8
64	43.4
65	41.9
66	39.9
67	38.4
68	34.5
69	29.1
70	25.1
71	22.7
72	24.6
73	27.1
74	30.1
75	32
76	34
77	33.5
78	35
79	36.5
80	36
81	34
82	31.5
83	27.1
84	23.7
85	21.7
86	20.7
87	18.7
88	16.8
89	17.7
90	18.7
91	19.7
92	18.7
93	17.2
94	12.8
95	10.3
96	7.9
97	3
98	0
99	0
100	0
101	0
102	0	----> Start of the Road Part of the Cycle. Sub-Cycle: Road 1
103	0
104	0
105	0
106	0
107	0
108	6.2
109	14.7
110	19.3
111	20.1
112	17.8
113	19.3
114	21.6
115	24.7
116	30.1
117	36.3
118	44
119	47.1
120	47.9
121	53.3
122	57.9
123	61.8
124	66.4
125	68.8
126	68.8
127	69.5
128	71.1
129	71.1
130	70.3
131	70.3
132	70.3
133	69.5
134	71.1
135	70.3
136	70.3
137	68.8
138	68.8
139	68
140	66.4
141	66.4
142	64.9
143	61.8
144	57.9
145	54.1
146	51
147	50.2
148	47.9
149	44
150	37.9
151	28.6
152	13.9
153	1.5
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	0.7
163	1.4
164	3.6
165	4.3
166	10.1
167	16.6
168	19.5
169	19.5
170	19.5
171	19.5
172	20.2
173	22.4
174	23.9
175	26
176	26.7
177	28.9
178	28.2
179	28.9
180	31.1
181	34
182	36.9
183	42.7
184	46.3
185	47
186	47
187	47.7
188	47
189	46.3
190	44.1
191	44.1
192	44.8
193	45.5
194	47
195	47
196	48.4
197	49.9
198	50.6
199	49.9
200	48.4
201	47
202	46.3
203	45.5
204	44.8
205	45.5
206	47
207	51.3
208	54.9
209	59.3
210	64.3
211	65.1
212	65.1
213	65.8
214	65.1
215	64.3
216	65.8
217	68
218	72.3
219	72.3
220	72.3
221	71.6
222	70.8
223	70.1
224	69.4
225	67.2
226	65.8
227	66.5
228	66.5
229	67.2
230	65.8
231	64.3
232	63.6
233	62.9
234	62.9
235	63.6
236	64.3
237	65.1
238	66.5
239	66.5
240	68
241	68.7
242	68.7
243	68.7
244	67.2
245	65.8
246	63.6
247	61.4
248	57.1
249	54.2
250	53.7
251	53.7
252	53
253	54.4
254	55.9
255	59.5
256	64.6
257	69.7
258	73.3
259	76.9
260	74.8
261	74.8
262	74.8
263	74.8
264	74
265	74
266	73.3
267	71.9
268	70.4
269	69.7
270	69.7
271	71.9
272	73.3
273	74
274	73.3
275	73.3
276	75.5
277	76.2
278	75.5
279	73.3
280	71.1
281	69.7
282	66.8
283	66
284	66
285	67.5
286	69.7
287	69
288	66.8
289	65.3
290	63.9
291	61.7
292	51.5
293	38.5
294	34.1
295	35.6
296	37
297	39.2
298	39.2
299	39.9
300	42.8
301	42.1
302	41.4
303	40.6
304	41.4
305	42.8
306	44.3
307	46.5
308	44.3
309	43.5
310	44.3
311	44.3
312	45.7
313	50.1
314	52.3
315	51.5
316	50.1
317	49.4
318	50.1
319	50.8
320	48.6
321	47.2
322	47.9
323	50.8
324	53.7
325	53.7
326	53.7
327	55.2
328	55.9
329	55.9
330	55.2
331	54.4
332	55.9
333	56.6
334	57.3
335	56.6
336	59.5
337	61.7
338	63.1
339	62.4
340	61.7
341	61.7
342	62.2	----> Sub-Cycle: Road 2
343	62.2
344	63.7
345	63.7
346	64.2
347	65.2
348	65.2
349	65.7
350	66.2
351	66.2
352	66.7
353	66.7
354	66.7
355	66.7
356	66.7
357	66.2
358	65.7
359	66.2
360	65.7
361	65.7
362	65.7
363	65.7
364	65.2
365	65.7
366	65.2
367	66.2
368	67.2
369	70.2
370	73.2
371	75.8
372	78.8
373	80.8
374	82.3
375	83.8
376	83.8
377	83.8
378	83.8
379	83.8
380	83.3
381	83.8
382	83.3
383	82.8
384	81.8
385	80.3
386	79.8
387	78.8
388	76.8
389	75.3
390	73.7
391	71.2
392	68.7
393	67.2
394	66.2
395	67.2
396	68.7
397	69.2
398	70.2
399	70.7
400	71.7
401	72.2
402	71.7
403	72.2
404	72.2
405	71.7
406	72.2
407	72.2
408	72.7
409	72.7
410	71.7
411	70.7
