US EPA Urban Dynamometer Driving Schedule (FTP-72)

DieselNet.com, 2014.08
https://dieselnet.com/standards/cycles/ftp72.php

Time	Speed
s	mph

1	0.0
2	0.0
3	0.0
4	0.0
5	0.0
6	0.0
7	0.0
8	0.0
9	0.0
10	0.0
11	0.0
12	0.0
13	0.0
14	0.0
15	0.0
16	0.0
17	0.0
18	0.0
19	0.0
20	0.0
21	3.0
22	5.9
23	8.6
24	11.5
25	14.3
26	16.9
27	17.3
28	18.1
29	20.7
30	21.7
31	22.4
32	22.5
33	22.1
34	21.5
35	20.9
36	20.4
37	19.8
38	17.0
39	14.9
40	14.9
41	15.2
42	15.5
43	16.0
44	17.1
45	19.1
46	21.1
47	22.7
48	22.9
49	22.7
50	22.6
51	21.3
52	19.0
53	17.1
54	15.8
55	15.8
56	17.7
57	19.8
58	21.6
59	23.2
60	24.2
61	24.6
62	24.9
63	25.0
64	24.6
65	24.5
66	24.7
67	24.8
68	24.7
69	24.6
70	24.6
71	25.1
72	25.6
73	25.7
74	25.4
75	24.9
76	25.0
77	25.4
78	26.0
79	26.0
80	25.7
81	26.1
82	26.7
83	27.5
84	28.6
85	29.3
86	29.8
87	30.1
88	30.4
89	30.7
90	30.7
91	30.5
92	30.4
93	30.3
94	30.4
95	30.8
96	30.4
97	29.9
98	29.5
99	29.8
100	30.3
101	30.7
102	30.9
103	31.0
104	30.9
105	30.4
106	29.8
107	29.9
108	30.2
109	30.7
110	31.2
111	31.8
112	32.2
113	32.4
114	32.2
115	31.7
116	28.6
117	25.3
118	22.0
119	18.7
120	15.4
121	12.1
122	8.8
123	5.5
124	2.2
125	0.0
126	0.0
127	0.0
128	0.0
129	0.0
130	0.0
131	0.0
132	0.0
133	0.0
134	0.0
135	0.0
136	0.0
137	0.0
138	0.0
139	0.0
140	0.0
141	0.0
142	0.0
143	0.0
144	0.0
145	0.0
146	0.0
147	0.0
148	0.0
149	0.0
150	0.0
151	0.0
152	0.0
153	0.0
154	0.0
155	0.0
156	0.0
157	0.0
158	0.0
159	0.0
160	0.0
161	0.0
162	0.0
163	0.0
164	3.3
165	6.6
166	9.9
167	13.2
168	16.5
169	19.8
170	22.2
171	24.3
172	25.8
173	26.4
174	25.7
175	25.1
176	24.7
177	25.0
178	25.2
179	25.4
180	25.8
181	27.2
182	26.5
183	24.0
184	22.7
185	19.4
186	17.7
187	17.2
188	18.1
189	18.6
190	20.0
191	22.2
192	24.5
193	27.3
194	30.5
195	33.5
196	36.2
197	37.3
198	39.3
199	40.5
200	42.1
201	43.5
202	45.1
203	46.0
204	46.8
205	47.5
206	47.5
207	47.3
208	47.2
209	47.0
210	47.0
211	47.0
212	47.0
213	47.0
214	47.2
215	47.4
216	47.9
217	48.5
218	49.1
219	49.5
220	50.0
221	50.6
222	51.0
223	51.5
224	52.2
225	53.2
226	54.1
227	54.6
228	54.9
229	55.0
230	54.9
231	54.6
232	54.6
233	54.8
234	55.1
235	55.5
236	55.7
237	56.1
238	56.3
239	56.6
240	56.7
241	56.7
242	56.5
243	56.5
244	56.5
245	56.5
246	56.5
247	56.5
248	56.4
249	56.1
250	55.8
251	55.1
252	54.6
253	54.2
254	54.0
255	53.7
256	53.6
257	53.9
258	54.0
259	54.1
260	54.1
261	53.8
262	53.4
263	53.0
264	52.6
265	52.1
266	52.4
267	52.0
268	51.9
269	51.7
270	51.5
271	51.6
272	51.8
273	52.1
274	52.5
275	53.0
276	53.5
277	54.0
278	54.9
279	55.4
280	55.6
281	56.0
282	56.0
283	55.8
284	55.2
285	54.5
286	53.6
287	52.5
288	51.5
289	51.5
290	51.5
291	51.1
292	50.1
293	50.0
294	50.1
295	50.0
296	49.6
297	49.5
298	49.5
299	49.5
300	49.1
301	48.6
302	48.1
303	47.2
304	46.1
305	45.0
306	43.8
307	42.6
308	41.5
309	40.3
310	38.5
311	37.0
312	35.2
313	33.8
314	32.5
315	31.5
316	30.6
317	30.5
318	30.0
319	29.0
320	27.5
321	24.8
322	21.5
323	20.1
324	19.1
325	18.5
326	17.0
327	15.5
328	12.5
329	10.8
330	8.0
331	4.7
332	1.4
333	0.0
334	0.0
335	0.0
336	0.0
337	0.0
338	0.0
339	0.0
340	0.0
341	0.0
342	0.0
343	0.0
344	0.0
345	0.0
346	0.0
347	1.0
348	4.3
349	7.6
350	10.9
351	14.2
352	17.3
353	20.0
354	22.5
355	23.7
356	25.2
357	26.6
358	28.1
359	30.0
360	30.8
361	31.6
362	32.1
363	32.8
364	33.6
365	34.5
366	34.6
367	34.9
368	34.8
369	34.5
370	34.7
371	35.5
372	36.0
373	36.0
374	36.0
375	36.0
376	36.0
377	36.0
378	36.1
379	36.4
380	36.5
381	36.4
382	36.0
383	35.1
384	34.1
385	33.5
386	31.4
387	29.0
388	25.7
389	23.0
390	20.3
391	17.5
392	14.5
393	12.0
394	8.7
395	5.4
396	2.1
397	0.0
398	0.0
399	0.0
400	0.0
401	0.0
402	0.0
403	2.6
404	5.9
405	9.2
406	12.5
407	15.8
408	19.1
409	22.4
410	25.0
411	25.6
412	27.5
413	29.0
414	30.0
415	30.1
416	30.0
417	29.7
418	29.3
419	28.8
420	28.0
421	25.0
422	21.7
423	18.4
424	15.1
425	11.8
426	8.5
427	5.2
428	1.9
429	0.0
430	0.0
431	0.0
432	0.0
433	0.0
434	0.0
435	0.0
436	0.0
437	0.0
438	0.0
439	0.0
440	0.0
441	0.0
442	0.0
443	0.0
444	0.0
445	0.0
446	0.0
447	0.0
448	3.3
449	6.6
450	9.9
451	13.2
452	16.5
453	19.8
454	23.1
455	26.4
456	27.8
457	29.1
458	31.5
459	33.0
460	33.6
461	34.8
462	35.1
463	35.6
464	36.1
465	36.0
466	36.1
467	36.2
468	36.0
469	35.7
470	36.0
471	36.0
472	35.6
473	35.5
474	35.4
475	35.2
476	35.2
477	35.2
478	35.2
479	35.2
480	35.2
481	35.0
482	35.1
483	35.2
484	35.5
485	35.2
486	35.0
487	35.0
488	35.0
489	34.8
490	34.6
491	34.5
492	33.5
493	32.0
494	30.1
495	28.0
496	25.5
497	22.5
498	19.8
499	16.5
500	13.2
501	10.3
502	7.2
503	4.0
504	1.0
505	0.0
506	0.0
507	0.0
508	0.0
509	0.0
510	0.0
511	1.2
512	3.5
513	5.5
514	6.5
515	8.5
516	9.6
517	10.5
518	11.9
519	14.0
520	16.0
521	17.7
522	19.0
523	20.1
524	21.0
525	22.0
526	23.0
527	23.8
528	24.5
529	24.9
530	25.0
531	25.0
532	25.0
533	25.0
534	25.0
535	25.0
536	25.6
537	25.8
538	26.0
539	25.6
540	25.2
541	25.0
542	25.0
543	25.0
544	24.4
545	23.1
546	19.8
547	16.5
548	13.2
549	9.9
550	6.6
551	3.3
552	0.0
553	0.0
554	0.0
555	0.0
556	0.0
557	0.0
558	0.0
559	0.0
560	0.0
561	0.0
562	0.0
563	0.0
564	0.0
565	0.0
566	0.0
567	0.0
568	0.0
569	3.3
570	6.6
571	9.9
572	13.0
573	14.6
574	16.0
575	17.0
576	17.0
577	17.0
578	17.5
579	17.7
580	17.7
581	17.5
582	17.0
583	16.9
584	16.6
585	17.0
586	17.1
587	17.0
588	16.6
589	16.5
590	16.5
591	16.6
592	17.0
593	17.6
594	18.5
595	19.2
596	20.2
597	21.0
598	21.1
599	21.2
600	21.6
601	22.0
602	22.4
603	22.5
604	22.5
605	22.5
606	22.7
607	23.7
608	25.1
609	26.0
610	26.5
611	27.0
612	26.1
613	22.8
614	19.5
615	16.2
616	12.9
617	9.6
618	6.3
619	3.0
620	0.0
621	0.0
622	0.0
623	0.0
624	0.0
625	0.0
626	0.0
627	0.0
628	0.0
629	0.0
630	0.0
631	0.0
632	0.0
633	0.0
634	0.0
635	0.0
636	0.0
637	0.0
638	0.0
639	0.0
640	0.0
641	0.0
642	0.0
643	0.0
644	0.0
645	0.0
646	2.0
647	4.5
648	7.8
649	10.2
650	12.5
651	14.0
652	15.3
653	17.5
654	19.6
655	21.0
656	22.2
657	23.3
658	24.5
659	25.3
660	25.6
661	26.0
662	26.1
663	26.2
664	26.2
665	26.4
666	26.5
667	26.5
668	26.0
669	25.5
670	23.6
671	21.4
672	18.5
673	16.4
674	14.5
