RTS 95 Test Cycle

DieselNet.com, 2016.07.18
https://dieselnet.com/standards/cycles/rts95.php

Note: RTC 95 is not a standardized testing procedure,
      different versions of the test may exist.

Time	Speed
s	km/h

1	0.00
2	0.00
3	0.00
4	0.00
5	0.00
6	1.20
7	6.35
8	14.09
9	21.16
10	25.54
11	27.90
12	30.21
13	32.96
14	35.15
15	36.13
16	36.41
17	36.82
18	37.19
19	36.74
20	34.15
21	29.32
22	23.44
23	18.40
24	16.07
25	16.57
26	19.88
27	25.43
28	32.25
29	38.74
30	42.86
31	43.63
32	41.97
33	38.14
34	32.58
35	25.57
36	18.18
37	11.73
38	6.79
39	3.36
40	1.26
41	0.00
42	0.00
43	0.00
44	0.00
45	0.00
46	2.46
47	7.03
48	12.45
49	16.10
50	17.29
51	17.27
52	16.57
53	14.96
54	12.42
55	8.85
56	5.72
57	4.63
58	5.56
59	9.00
60	14.72
61	21.31
62	27.97
63	33.99
64	38.94
65	43.26
66	47.30
67	50.79
68	53.31
69	54.64
70	55.17
71	55.53
72	55.86
73	55.43
74	53.09
75	48.83
76	43.85
77	38.47
78	31.82
79	24.25
80	17.53
81	12.56
82	8.63
83	4.84
84	1.71
85	0.00
86	0.00
87	0.00
88	0.00
89	0.00
90	1.14
91	5.98
92	13.86
93	20.73
94	24.48
95	27.25
96	31.27
97	36.05
98	39.88
99	42.16
100	43.41
101	44.03
102	44.08
103	42.60
104	38.21
105	31.73
106	24.52
107	16.71
108	9.19
109	3.65
110	0.00
111	0.00
112	0.00
113	0.00
114	0.00
115	1.01
116	3.02
117	5.59
118	7.50
119	8.11
120	8.11
121	9.25
122	13.32
123	20.35
124	28.00
125	34.75
126	41.17
127	46.85
128	50.06
129	50.79
130	50.17
131	48.49
132	46.21
133	43.77
134	41.41
135	39.61
136	38.59
137	38.24
138	38.43
139	38.35
140	36.04
141	29.78
142	20.63
143	12.01
144	5.69
145	1.96
146	0.00
147	0.00
148	0.00
149	0.00
150	0.00
151	2.82
152	8.05
153	15.63
154	24.64
155	32.73
156	37.97
157	40.61
158	41.66
159	42.15
160	43.01
161	44.68
162	46.44
163	47.19
164	46.98
165	45.45
166	41.13
167	34.99
168	30.83
169	29.77
170	31.28
171	35.91
172	40.61
173	42.20
174	39.83
175	32.36
176	23.41
177	18.43
178	17.31
179	18.36
180	22.27
181	28.17
182	32.55
183	33.99
184	33.97
185	33.13
186	31.22
187	28.78
188	26.33
189	24.25
190	22.98
191	22.09
192	20.40
193	17.34
194	13.77
195	10.58
196	7.49
197	4.39
198	2.14
199	1.06
200	0.00
201	0.00
202	0.00
203	0.00
204	0.00
205	1.50
206	4.84
207	9.34
208	13.43
209	16.82
210	20.37
211	25.37
212	32.99
213	41.86
214	47.93
215	49.68
216	49.29
217	47.70
218	45.07
219	42.08
220	38.33
221	33.90
222	30.48
223	29.07
224	29.00
225	29.43
226	29.85
227	29.93
228	29.47
229	28.18
230	25.35
231	19.54
232	11.12
233	3.86
234	0.00
235	0.00
236	0.00
237	0.00
238	0.00
239	4.52
240	11.66
241	18.81
242	23.45
243	25.54
244	25.73
245	25.09
246	24.71
247	25.50
248	28.40
249	33.34
250	39.00
251	43.88
252	46.79
253	47.60
254	47.43
255	46.14
256	43.03
257	38.85
258	34.01
259	28.34
260	21.64
261	13.77
262	6.23
263	1.40
264	0.00
265	0.00
266	0.00
267	0.00
268	0.00
269	2.15
270	6.64
271	13.39
272	21.14
273	28.21
274	34.10
275	39.16
276	42.75
277	44.44
278	45.21
279	46.02
280	46.74
281	47.01
282	46.87
283	46.21
284	44.85
285	42.62
286	38.96
287	33.25
288	26.31
289	20.27
290	15.93
291	12.56
292	9.64
293	6.96
294	4.26
295	1.84
296	0.00
297	0.00
298	0.00
299	0.00
300	0.00
301	3.13
302	5.63
303	8.75
304	13.75
305	20.63
306	27.50
307	31.88
308	41.88
309	50.00
310	53.75
311	54.38
312	57.50
313	58.13
314	56.25
315	56.88
316	58.75
317	63.13
318	70.63
319	76.88
320	78.75
321	77.50
322	76.25
323	75.63
324	75.00
325	75.00
326	76.88
327	81.25
328	83.75
329	81.88
330	75.63
331	68.13
332	64.38
333	61.25
334	58.13
335	56.25
336	56.88
337	61.25
338	65.63
339	68.75
340	70.00
341	71.88
342	73.13
343	72.50
344	71.25
345	70.00
346	68.75
347	65.63
348	63.75
349	63.13
350	55.00
351	45.63
352	39.38
353	35.00
354	30.00
355	27.50
356	26.88
357	23.13
358	20.00
359	15.63
360	15.00
361	15.00
362	15.00
363	16.25
364	16.88
365	19.38
366	21.88
367	23.13
368	25.00
369	24.38
370	21.25
371	18.13
372	16.88
373	13.13
374	6.88
375	1.25
376	0.00
377	0.00
378	0.00
379	0.00
380	0.00
381	8.48
382	18.84
383	21.83
384	26.54
385	33.14
386	39.23
387	40.63
388	44.02
389	48.36
390	52.12
391	55.34
392	56.03
393	55.44
394	56.65
395	59.78
396	63.47
397	65.82
398	67.69
399	68.82
