Cycle;meanVel;maxVel;minVel;stdVel;maxAccel;maxDecel;stdAccel;stdDecel;meanAccel;meanDecel;rAccel;rDecel;rStop;stopCnt;meanStopDur;meanGear;gearChg
1;2.227639765;10.237216;0;2.56930882;2.503424;-2.056384;0.53723655;0.551613927;0.889753806;-0.752517333;0.22962963;0.266666667;0.42962963;2;29;1.095588235;6
1;2.481400706;10.237216;0;2.61433547;2.503424;-2.056384;0.562850907;0.550084383;0.896372513;-0.724675368;0.288888889;0.281481481;0.340740741;3;15.33333333;1.117647059;7
1;3.533259529;11.265408;0;3.291818458;2.503424;-2.056384;0.551674921;0.542847388;0.795548735;-0.692366829;0.362962963;0.303703704;0.22962963;3;10.33333333;1.242647059;9
1;4.412876471;11.265408;0;3.338501354;2.503424;-2.056384;0.551976838;0.525757864;0.78410816;-0.665086041;0.37037037;0.362962963;0.118518519;3;5.333333333;1.352941176;9
1;4.304403529;11.265408;0;3.439727456;2.68224;-2.056384;0.638003251;0.514284114;0.836900465;-0.686816;0.318518519;0.407407407;0.118518519;3;5.333333333;1.367647059;9
1;4.610757412;11.488928;0;3.546063055;2.68224;-1.743456;0.734055856;0.422138836;0.898053689;-0.623325585;0.333333333;0.392592593;0.118518519;3;5.333333333;1.419117647;11
1;5.438438824;11.801856;0;3.489697474;2.68224;-1.743456;0.723132868;0.439962066;0.83328256;-0.618405333;0.37037037;0.4;0.066666667;3;3;1.544117647;13
1;5.825654353;11.801856;0;3.556448929;2.68224;-2.637536;0.661106126;0.542964378;0.74029824;-0.681350621;0.37037037;0.42962963;0.044444444;3;2;1.595588235;14
1;5.546911765;11.801856;0;3.878310896;2.68224;-2.637536;0.6717314;0.551305784;0.753448667;-0.711046642;0.355555556;0.392592593;0.133333333;3;6;1.595588235;14
1;5.312544471;11.801856;0;4.00632989;2.68224;-2.637536;0.671177302;0.564870505;0.755311333;-0.712684923;0.355555556;0.385185185;0.133333333;3;6;1.588235294;12
1;5.716852706;11.801856;0;3.946950598;2.68224;-2.637536;0.700947735;0.569975504;0.77427328;-0.702368615;0.37037037;0.385185185;0.125925926;3;5.666666667;1.639705882;12
1;5.605750118;11.801856;0;3.857821684;2.68224;-2.637536;0.740923271;0.544434325;0.836603429;-0.6906768;0.311111111;0.444444444;0.125925926;3;5.666666667;1.610294118;11
1;5.019338824;11.801856;0;3.84247455;2.68224;-2.637536;0.722270797;0.533882541;0.837184;-0.721224533;0.325925926;0.444444444;0.148148148;4;5;1.514705882;13
1;4.943736471;11.801856;0;3.854536357;2.68224;-2.637536;0.714133617;0.538748509;0.849376;-0.7217664;0.355555556;0.407407407;0.185185185;3;8.333333333;1.492647059;12
1;4.330371294;11.801856;0;3.796898756;2.2352;-2.637536;0.542009237;0.533709907;0.653925953;-0.710474286;0.318518519;0.414814815;0.214814815;4;7.25;1.404411765;8
1;3.360031529;11.176;0;3.608778562;2.2352;-2.637536;0.554845314;0.536680783;0.707029053;-0.708877714;0.281481481;0.362962963;0.325925926;4;11;1.272058824;7
1;2.501451765;10.013696;0;3.179358703;2.2352;-1.385824;0.58869469;0.366131079;0.734822;-0.574609951;0.237037037;0.303703704;0.42962963;3;19.33333333;1.176470588;4
1;2.494220235;10.013696;0;3.184138058;2.2352;-1.385824;0.604157364;0.366131079;0.7197344;-0.574609951;0.222222222;0.303703704;0.444444444;3;20;1.176470588;4
1;2.464308;10.013696;0;3.232137501;2.2352;-1.385824;0.587562602;0.367543659;0.775335;-0.587538286;0.237037037;0.259259259;0.466666667;3;21;1.176470588;4
1;2.456747765;10.013696;0;2.960220873;1.609344;-1.385824;0.415677301;0.354895092;0.600523733;-0.578799158;0.222222222;0.281481481;0.451851852;2;30.5;1.139705882;5
1;2.165514353;7.063232;0;2.392294568;1.609344;-1.475232;0.397030659;0.364674656;0.579837176;-0.625856;0.251851852;0.251851852;0.451851852;2;30.5;1.102941176;8
1;1.923915529;7.063232;0;2.314802161;1.609344;-1.475232;0.407816572;0.363695287;0.561594;-0.604994133;0.237037037;0.222222222;0.488888889;2;33;1.088235294;6
1;1.773039529;7.063232;0;2.336005818;1.430528;-1.475232;0.311050696;0.368924248;0.472830769;-0.604331852;0.192592593;0.2;0.548148148;2;37;1.088235294;6
1;1.531440706;7.063232;0;2.341631234;1.430528;-1.475232;0.332146398;0.345142369;0.483616;-0.5431536;0.162962963;0.148148148;0.637037037;1;86;1.088235294;6
1;1.548204706;7.063232;0;2.336148956;1.475232;-1.475232;0.407092863;0.345142369;0.55790592;-0.5431536;0.185185185;0.148148148;0.622222222;2;42;1.088235294;6
1;2.339728471;9.38784;0;2.915051324;1.475232;-1.475232;0.381949067;0.353520172;0.560041778;-0.544576;0.266666667;0.162962963;0.511111111;2;34.5;1.161764706;7
1;2.585600471;9.38784;0;2.94188814;1.475232;-2.45872;0.373276931;0.591440102;0.522273561;-0.69940129;0.303703704;0.22962963;0.407407407;3;18.33333333;1.183823529;8
1;2.718068941;9.38784;0;2.914419519;1.475232;-2.45872;0.337424835;0.588124637;0.505349565;-0.705485;0.340740741;0.237037037;0.377777778;2;25.5;1.183823529;8
1;3.317299765;12.383008;0;3.798829371;1.832864;-2.45872;0.434145868;0.590887585;0.585907745;-0.815848;0.348148148;0.237037037;0.377777778;2;25.5;1.323529412;9
1;2.785124941;12.383008;0;3.774255329;1.832864;-2.45872;0.456321829;0.617631628;0.637318564;-0.872405333;0.288888889;0.244444444;0.444444444;3;20;1.264705882;6
2;4.515114379;12.36111111;0;4.308078867;1.333333333;-1.472222222;0.352104998;0.374837863;0.536265432;-0.563492064;0.266666667;0.259259259;0.362962963;1;49;1.448529412;6
2;5.011437908;12.36111111;0;4.153115784;1.555555556;-1.472222222;0.368821393;0.371917128;0.544191919;-0.552552553;0.325925926;0.274074074;0.288888889;1;39;1.5;7
2;4.791462418;12.36111111;0;4.029210042;1.555555556;-1.472222222;0.336395605;0.406240373;0.519179894;-0.601626016;0.311111111;0.303703704;0.288888889;1;39;1.463235294;7
2;4.628267974;10.97222222;0;3.778755106;1.555555556;-1.472222222;0.321287189;0.433108153;0.518719807;-0.599537037;0.340740741;0.266666667;0.288888889;1;39;1.411764706;6
2;4.713848039;10.97222222;0;3.807612342;1.555555556;-1.472222222;0.324042472;0.411097034;0.525252525;-0.597916667;0.325925926;0.296296296;0.288888889;1;39;1.441176471;6
2;4.637663399;10.97222222;0;3.793434434;1.555555556;-1.472222222;0.312599957;0.411097034;0.538647343;-0.597916667;0.340740741;0.296296296;0.288888889;1;39;1.433823529;6
2;5.020833333;15.22222222;0;4.462450345;1.555555556;-1.472222222;0.30232848;0.375518184;0.493773946;-0.640740741;0.42962963;0.222222222;0.288888889;1;39;1.536764706;7
2;6.429125817;15.69444444;0;5.104124788;1.555555556;-1.472222222;0.304576701;0.34919578;0.481481482;-0.5546875;0.444444444;0.237037037;0.237037037;1;32;1.75;6
2;7.17994281;15.69444444;0;4.627116561;1.555555556;-1.472222222;0.304576701;0.33487577;0.481481482;-0.536835749;0.444444444;0.340740741;0.125925926;1;17;1.816176471;8
2;8.147263072;15.69444444;0;4.009113589;1.555555556;-1.472222222;0.300713639;0.336986822;0.5152207;-0.527777778;0.540740741;0.348148148;0.014814815;1;2;1.941176471;10
2;8.690972222;15.69444444;3.333333333;3.718268334;1.083333333;-1.5;0.281259897;0.357878071;0.523631841;-0.586419753;0.496296296;0.4;0;0;0;2.036764706;10
2;9.470792484;15.69444444;3.333333333;3.765785735;1.083333333;-1.5;0.291455167;0.328259469;0.525045537;-0.514917695;0.451851852;0.4;0;0;0;2.191176471;9
2;9.741421568;15.69444444;3.333333333;3.782801239;1.083333333;-1.5;0.298746913;0.296969574;0.549790356;-0.450176367;0.392592593;0.466666667;0;0;0;2.25;10
2;9.900531046;15.69444444;3.333333333;3.58812812;1.083333333;-1.5;0.298746913;0.306232524;0.549790356;-0.446236559;0.392592593;0.459259259;0;0;0;2.301470588;10
2;9.88500817;15.69444444;3.972222222;3.561628643;1.083333333;-1.5;0.309399768;0.304476168;0.548309179;-0.433760684;0.340740741;0.481481481;0;0;0;2.301470588;10
2;9.264705882;15.69444444;3.972222222;3.377661258;1.083333333;-1.5;0.33178914;0.296253186;0.597619048;-0.433172303;0.259259259;0.511111111;0;0;0;2.205882353;9
2;8.286764706;13.83333333;3.305555556;2.937424434;1.083333333;-1.5;0.32192789;0.311541781;0.597222222;-0.442810458;0.266666667;0.503703704;0;0;0;2.073529412;10
2;7.589869281;13.83333333;0;3.673800946;1.083333333;-1.5;0.326245762;0.293387836;0.584834835;-0.409171076;0.274074074;0.466666667;0.044444444;1;6;1.992647059;8
2;7.194240196;13.83333333;0;3.722353502;1.194444444;-1.5;0.376911694;0.28354777;0.621527778;-0.409313725;0.237037037;0.503703704;0.044444444;1;6;1.941176471;7
2;6.656045752;13.83333333;0;3.634408951;1.194444444;-1;0.365661807;0.198958203;0.512152778;-0.34765625;0.237037037;0.474074074;0.044444444;1;6;1.794117647;7
2;6.062295751;13.08333333;0;2.98453853;1.333333333;-1;0.391932086;0.201145762;0.535353535;-0.352272727;0.244444444;0.488888889;0.044444444;1;6;1.661764706;7
2;4.996119281;9.305555556;0;2.693565409;1.333333333;-1.472222222;0.391932086;0.328972135;0.535353535;-0.45338983;0.244444444;0.437037037;0.096296296;2;6.5;1.5;7
2;4.21752451;9.305555556;0;2.969147779;1.333333333;-1.472222222;0.391932086;0.343488595;0.535353535;-0.467592593;0.244444444;0.355555556;0.207407407;2;14;1.397058824;6
2;3.650531046;9.305555556;0;3.196898423;1.333333333;-1.472222222;0.412299046;0.346063724;0.537037037;-0.487037037;0.2;0.333333333;0.318518519;2;21.5;1.360294118;5
2;2.808619281;9.305555556;0;3.03604823;1.333333333;-1.472222222;0.410895009;0.357303326;0.586805556;-0.490079365;0.177777778;0.311111111;0.42962963;2;29;1.25;5
2;2.152573529;9.305555556;0;2.917231958;1.333333333;-1.472222222;0.42018357;0.364615369;0.630952381;-0.482026144;0.155555556;0.251851852;0.540740741;2;36.5;1.154411765;4
2;2.463031046;9.305555556;0;2.994053807;1.444444444;-1.472222222;0.441782846;0.407114981;0.71090535;-0.564236111;0.2;0.237037037;0.503703704;2;34;1.191176471;6
2;2.204656863;9.305555556;0;2.898497807;1.611111111;-1.472222222;0.473880948;0.418809941;0.724358974;-0.575;0.192592593;0.222222222;0.518518519;2;35;1.147058824;5
2;2.245915033;9.305555556;0;2.953570239;1.611111111;-1.472222222;0.456849852;0.411016958;0.835978836;-0.512345679;0.155555556;0.266666667;0.518518519;2;35;1.183823529;6
2;1.730596405;8.111111111;0;2.392091164;1.611111111;-1.472222222;0.497838444;0.468208303;0.729532164;-0.644607843;0.140740741;0.251851852;0.555555556;3;25;1.110294118;5
3;9.575163399;19.75;0;5.642128713;2.361111111;-4.083333333;0.537245376;0.722175808;0.72761194;-0.799180328;0.440789474;0.401315789;0.098684211;2;7.5;2.209150327;18
3;8.903957879;19.75;0;5.875673916;2.361111111;-4.083333333;0.531541656;0.753410636;0.718905473;-0.761831276;0.440789474;0.355263158;0.118421053;2;9;2.098039216;17
3;9.719135803;19.75;0;6.274002445;2.361111111;-4.083333333;0.540235271;0.758654395;0.719362745;-0.735858586;0.447368421;0.361842105;0.118421053;2;9;2.196078431;14
3;12.04901961;20.08333333;0;6.894864506;2.361111111;-4.083333333;0.560842013;0.785951543;0.699074074;-0.641111111;0.434210526;0.328947368;0.118421053;2;9;2.503267974;14
3;14.50780683;21.36111111;0;6.180233136;1.805555556;-4.083333333;0.444728463;0.723538686;0.582862523;-0.583333333;0.388157895;0.401315789;0.052631579;1;8;2.875816993;12
3;14.82824982;21.36111111;0;5.113545296;1.805555556;-3.611111111;0.416744877;0.588853323;0.568112633;-0.481150793;0.480263158;0.368421053;0.006578947;1;1;2.91503268;10
3;16.47276688;21.36111111;9.472222222;3.03379156;1.416666667;-3.611111111;0.356927683;0.563368298;0.511363636;-0.460573477;0.434210526;0.407894737;0;0;0;3.130718954;8
3;17.15994917;23.27777778;9.472222222;3.066535671;1.416666667;-3.611111111;0.315061055;0.601346121;0.460858586;-0.477880658;0.434210526;0.355263158;0;0;0;3.150326797;7
3;17.833878;23.27777778;9.472222222;3.422126145;1.222222222;-3.611111111;0.268609727;0.577274265;0.40625;-0.438697318;0.421052632;0.381578947;0;0;0;3.320261438;9
3;17.5905955;23.27777778;9.472222222;3.283032652;1.222222222;-3.611111111;0.250557242;0.598675072;0.35670194;-0.406378601;0.414473684;0.355263158;0;0;0;3.209150327;8
3;18.82389252;23.27777778;13.11111111;1.935500953;0.833333333;-0.694444444;0.229705871;0.152492284;0.306603774;-0.252645503;0.348684211;0.276315789;0;0;0;3.254901961;6
3;18.51579521;23.27777778;7.472222222;2.901785633;1.166666667;-1.916666667;0.305513025;0.407451081;0.363756614;-0.382716049;0.276315789;0.355263158;0;0;0;3.196078431;7
3;17.22930283;22.30555556;7.472222222;2.961556754;1.166666667;-1.916666667;0.29734297;0.405196086;0.304232804;-0.399895178;0.276315789;0.348684211;0;0;0;3.091503268;7
3;15.56154684;19.63888889;7.472222222;3.301248086;1.166666667;-1.916666667;0.306925514;0.486001339;0.356884058;-0.461805556;0.302631579;0.315789474;0;0;0;2.895424837;6
3;13.00399419;19;0.555555556;4.779568185;1.166666667;-1.916666667;0.344166773;0.504333371;0.436314363;-0.555128205;0.269736842;0.427631579;0;0;0;2.607843137;6
3;10.67864924;18.5;0;4.754276917;1.916666667;-1.916666667;0.394427424;0.5072439;0.535185185;-0.559461806;0.394736842;0.421052632;0.032894737;1;5;2.392156863;8
3;11.03703704;18.05555556;0;4.810827019;1.916666667;-1.805555556;0.358538407;0.451453933;0.437908497;-0.486897275;0.447368421;0.348684211;0.032894737;1;5;2.450980392;6
3;11.57697894;19.02777778;0;5.268102952;1.916666667;-1.805555556;0.3543562;0.435159448;0.461965812;-0.489766082;0.427631579;0.375;0.032894737;1;5;2.450980392;6
3;13.44825708;24.41666667;0;6.580249064;1.916666667;-1.805555556;0.364581007;0.383984032;0.504830918;-0.441823899;0.453947368;0.348684211;0.032894737;1;5;2.653594771;4
3;16.01706609;24.41666667;0.277777778;4.434275561;1.916666667;-2.527777778;0.339046245;0.483081059;0.491912799;-0.46572104;0.519736842;0.309210526;0;0;0;3.058823529;6
3;18.60257807;26.05555556;10.83333333;4.058752746;1.111111111;-2.527777778;0.263672696;0.472986087;0.463963964;-0.482060185;0.486842105;0.315789474;0;0;0;3.418300654;7
3;19.58950617;26.05555556;10.83333333;4.405837;1.111111111;-2.527777778;0.25957965;0.47470921;0.516577061;-0.536290323;0.407894737;0.407894737;0;0;0;3.614379085;10
3;21.41285403;30.55555556;10.83333333;4.804447379;1.111111111;-2.527777778;0.240754493;0.516606171;0.529471545;-0.602430556;0.539473684;0.315789474;0;0;0;3.882352941;12
3;22.90286855;30.97222222;10.83333333;5.73032141;1.027777778;-2.527777778;0.230045475;0.510941997;0.500391236;-0.550838574;0.467105263;0.348684211;0;0;0;4.117647059;11
3;24.69045025;30.97222222;14.86111111;4.127072375;1.027777778;-1.694444444;0.2368239;0.30510983;0.431238616;-0.421539961;0.401315789;0.375;0;0;0;4.366013072;8
3;24.33079158;30.97222222;14.86111111;4.178688018;1.027777778;-1.694444444;0.221519653;0.30229047;0.393939394;-0.412568306;0.361842105;0.401315789;0;0;0;4.267973856;7
3;25.04738562;30.97222222;19.66666667;3.046060944;1.027777778;-0.777777778;0.223062605;0.145743675;0.359053498;-0.303030303;0.355263158;0.361842105;0;0;0;4.37254902;4
3;22.83986928;30.75;9;4.271901776;1.194444444;-2.805555556;0.272866325;0.474224278;0.359173126;-0.442340067;0.282894737;0.434210526;0;0;0;4.058823529;6
